date,open,close,high,low
2021-03-18,8.38,8.23,8.49,8.11
2021-03-19,8.2,8.17,8.28,8.01
2021-03-22,8.09,8.32,8.58,8.09
2021-03-23,8.3,8.08,8.34,8.01
2021-03-24,8.3,8.27,8.68,8.22
2021-03-25,8.1,8.35,8.46,8.05
2021-03-26,8.45,8.78,8.97,8.33
2021-03-29,8.78,9.19,9.25,8.74
2021-03-30,9.05,8.62,9.1,8.53
2021-03-31,8.63,8.53,8.8,8.4
2021-04-01,8.55,8.43,8.75,8.41
2021-04-02,8.43,8.51,8.54,8.25
2021-04-06,8.58,8.37,8.74,8.3
2021-04-07,8.37,8.23,8.43,8.12
2021-04-08,8.35,8.22,8.35,8.09
2021-04-09,8.23,8.28,8.3,8.12
2021-04-12,8.35,8.7,8.79,8.3
2021-04-13,8.61,8.64,8.79,8.32
2021-04-14,8.55,8.58,8.68,8.35
2021-04-15,8.55,8.41,8.55,8.25
2021-04-16,8.31,8.35,8.39,8.2
2021-04-19,8.32,8.57,8.58,8.29
2021-04-20,8.6,8.43,8.72,8.36
2021-04-21,8.4,8.41,8.68,8.31
2021-04-22,8.38,8.23,8.43,8.23
2021-04-23,8.29,8.2,8.31,8.12
2021-04-26,8.2,8.1,8.35,8.09
2021-04-27,8.14,8.25,8.28,8.02
2021-04-28,8.21,8.1,8.29,8.07
2021-04-29,8.13,7.86,8.19,6.81
2021-04-30,7.56,8.25,8.33,7.53
2021-05-06,8.25,8.26,8.45,8.14
2021-05-07,8.2,8.14,8.21,8.02
2021-05-10,8.12,7.73,8.19,7.68
2021-05-11,7.75,7.54,7.8,7.5
2021-05-12,7.35,7.38,7.6,7.27
2021-05-13,7.3,7.87,8.08,7.23
2021-05-14,7.97,7.79,8.07,7.78
2021-05-17,7.8,7.98,8.0,7.52
2021-05-18,7.89,8.04,8.19,7.83
2021-05-19,8.02,8.09,8.21,8.0
2021-05-20,8.09,8.28,8.4,7.98
2021-05-21,8.28,8.17,8.39,8.16
2021-05-24,8.18,8.14,8.27,8.07
2021-05-25,8.14,8.5,8.57,8.14
2021-05-26,8.75,8.68,8.86,8.52
2021-05-27,8.67,8.85,9.07,8.67
2021-05-28,8.89,8.89,8.99,8.73
2021-05-31,8.92,9.14,9.17,8.8
2021-06-01,9.35,9.27,9.87,9.18
2021-06-02,9.42,9.28,9.43,9.17
2021-06-03,9.39,9.32,9.6,9.26
2021-06-04,9.39,9.4,9.57,9.31
2021-06-07,9.42,9.58,9.62,9.42
2021-06-08,9.69,9.28,9.69,9.2
2021-06-09,9.34,9.13,9.39,9.03
2021-06-10,9.31,9.3,9.44,9.07
2021-06-11,9.0,8.48,9.3,8.46
2021-06-15,8.48,8.1,8.63,7.91
2021-06-16,8.19,8.06,8.19,7.83
2021-06-17,8.0,7.68,8.08,7.67
2021-06-18,7.74,8.0,8.13,7.64
2021-06-21,7.94,7.97,8.15,7.86
2021-06-22,7.96,7.76,7.99,7.72
2021-06-23,7.93,7.7,7.98,7.59
2021-06-24,7.7,7.44,7.7,7.34
2021-06-25,7.44,7.42,7.55,7.29
2021-06-28,7.45,7.34,7.47,7.32
2021-06-29,7.34,7.23,7.34,7.21
2021-06-30,7.22,7.28,7.59,7.21
2021-07-01,6.98,7.39,7.76,6.98
2021-07-02,7.27,7.53,7.83,7.19
2021-07-05,7.5,7.55,7.74,7.45
2021-07-06,7.55,7.6,7.65,7.45
2021-07-07,7.55,8.5,8.5,7.52
2021-07-08,8.41,8.76,8.88,8.32
2021-07-09,8.75,8.35,8.82,8.08
2021-07-12,8.33,8.18,8.48,8.07
2021-07-13,8.19,8.0,8.19,7.78
2021-07-14,7.94,7.77,7.97,7.74
2021-07-15,7.77,7.55,7.9,7.47
2021-07-16,7.56,7.33,7.65,7.3
2021-07-19,7.29,7.56,7.76,7.29
2021-07-20,7.55,7.59,7.63,7.36
2021-07-21,7.55,7.92,8.05,7.55
2021-07-22,8.0,7.9,8.0,7.7
2021-07-23,8.15,7.74,8.15,7.7
2021-07-26,7.83,7.45,7.83,7.38
2021-07-27,7.43,7.32,7.56,7.29
2021-07-28,7.28,6.98,7.31,6.93
2021-07-29,7.1,7.18,7.32,6.96
2021-07-30,7.16,7.29,7.41,7.15
2021-08-02,7.36,7.46,7.57,7.19
2021-08-03,7.5,7.3,7.58,7.24
2021-08-04,7.27,7.29,7.42,7.21
2021-08-05,7.33,7.14,7.33,7.06
2021-08-06,7.1,7.47,7.69,7.06
2021-08-09,7.47,7.6,7.83,7.47
2021-08-10,7.52,7.6,7.79,7.45
2021-08-11,7.6,7.41,7.61,7.37
2021-08-12,7.44,7.58,7.6,7.38
2021-08-13,7.51,7.67,7.83,7.49
2021-08-16,7.67,7.45,7.77,7.42
2021-08-17,7.45,7.05,7.47,7.01
2021-08-18,7.13,7.4,7.59,6.81
2021-08-19,7.23,6.95,7.4,6.92
2021-08-20,6.9,6.96,7.08,6.66
2021-08-23,6.93,7.12,7.17,6.93
2021-08-24,7.06,7.0,7.28,6.99
2021-08-25,6.95,6.88,7.06,6.84
2021-08-26,6.96,7.17,7.25,6.88
2021-08-27,7.1,6.89,7.16,6.85
2021-08-30,6.9,6.86,7.08,6.81
2021-08-31,6.94,6.68,6.94,6.65
2021-09-01,6.68,6.6,6.75,6.55
2021-09-02,6.6,6.73,6.86,6.48
2021-09-03,6.73,6.69,6.94,6.66
2021-09-06,6.75,6.72,6.76,6.61
2021-09-07,6.74,6.77,6.78,6.64
2021-09-08,6.76,6.91,6.95,6.71
2021-09-09,6.93,6.88,7.12,6.86
2021-09-10,6.85,6.68,6.86,6.65
2021-09-13,6.64,6.69,6.76,6.59
2021-09-14,6.69,6.67,6.82,6.64
2021-09-15,6.67,6.65,6.7,6.62
2021-09-16,6.7,7.25,7.97,6.67
2021-09-17,7.3,7.02,7.39,6.93
2021-09-22,6.85,7.25,7.35,6.82
2021-09-23,7.32,7.1,7.38,7.09
2021-09-24,7.2,7.12,7.25,6.9
2021-09-27,7.05,6.91,7.23,6.81
2021-09-28,6.88,6.93,6.96,6.78
2021-09-29,6.9,6.69,6.93,6.66
2021-09-30,6.74,6.79,6.81,6.65
2021-10-08,6.85,7.08,7.15,6.85
2021-10-11,7.15,7.29,7.48,7.12
2021-10-12,7.3,7.32,7.48,7.23
2021-10-13,7.32,7.08,7.4,7.01
2021-10-14,7.08,7.31,7.39,7.01
2021-10-15,7.36,7.11,7.38,7.08
2021-10-18,7.18,7.42,7.45,7.04
2021-10-19,7.36,7.29,7.44,7.26
2021-10-20,7.24,7.39,7.47,7.19
2021-10-21,7.39,7.33,7.65,7.32
2021-10-22,7.33,7.17,7.42,7.13
2021-10-25,7.13,7.18,7.27,7.13
2021-10-26,7.18,7.09,7.23,7.05
2021-10-27,7.08,6.97,7.15,6.92
2021-10-28,6.94,6.91,7.02,6.83
2021-10-29,6.91,6.91,6.97,6.75
2021-11-01,6.94,6.81,6.95,6.77
2021-11-02,6.78,6.65,6.9,6.54
2021-11-03,6.66,6.83,6.84,6.58
2021-11-04,6.83,7.16,7.27,6.83
2021-11-05,7.15,7.06,7.29,7.03
2021-11-08,7.1,6.98,7.1,6.92
2021-11-09,7.01,7.19,7.23,6.92
2021-11-10,7.18,7.21,7.26,7.11
2021-11-11,7.2,7.22,7.28,7.16
2021-11-12,7.24,7.26,7.29,7.17
2021-11-15,7.28,7.3,7.38,7.2
2021-11-16,7.3,7.13,7.35,7.13
2021-11-17,7.13,7.26,7.27,7.0
2021-11-18,7.26,7.12,7.3,7.09
2021-11-19,7.19,7.22,7.45,7.08
2021-11-22,7.37,7.58,7.65,7.23
2021-11-23,7.5,7.4,7.52,7.32
2021-11-24,7.41,7.29,7.53,7.28
2021-11-25,7.31,7.25,7.38,7.11
2021-11-26,7.25,7.23,7.3,6.97
2021-11-29,7.19,7.05,7.19,7.0
2021-11-30,7.15,7.25,7.42,7.09
