date,close_raw
2017-02-15,11.69
2017-02-16,12.86
2017-02-17,14.15
2017-02-20,15.57
2017-02-21,17.13
2017-02-22,18.84
2017-02-23,20.72
2017-02-24,22.79
2017-02-27,25.07
2017-02-28,27.58
2017-03-01,30.34
2017-03-02,33.37
2017-03-03,36.71
2017-03-06,40.38
2017-03-07,44.42
2017-03-08,48.86
2017-03-09,53.75
2017-03-10,59.13
2017-03-13,65.04
2017-03-14,71.54
2017-03-15,72.0
2017-03-16,73.25
2017-03-17,69.0
2017-03-20,69.74
2017-03-21,71.15
2017-03-22,73.1
2017-03-23,73.85
2017-03-24,72.11
2017-03-27,69.6
2017-03-28,63.4
2017-03-29,61.0
2017-03-30,58.81
2017-03-31,55.28
2017-04-05,55.99
2017-04-06,56.61
2017-04-07,54.84
2017-04-10,49.36
2017-04-11,50.0
2017-04-12,47.8
2017-04-13,48.0
2017-04-14,47.6
2017-04-17,42.84
2017-04-18,40.25
2017-04-19,41.68
2017-04-20,41.2
2017-04-21,39.61
2017-04-24,39.95
2017-04-25,42.05
2017-04-26,42.21
2017-04-27,44.06
2017-04-28,43.79
2017-05-02,42.64
2017-05-03,42.23
2017-05-04,40.8
2017-05-05,40.3
2017-05-08,39.0
2017-05-09,41.47
2017-05-10,39.7
2017-05-11,41.37
2017-05-12,41.54
2017-05-15,42.43
2017-05-16,43.11
2017-05-17,43.04
2017-05-18,42.05
2017-05-19,40.31
2017-05-22,38.23
2017-05-23,36.46
2017-05-24,36.58
2017-05-25,36.58
2017-05-26,36.89
2017-05-31,36.39
2017-06-01,33.45
2017-06-02,34.1
2017-06-05,33.8
2017-06-06,33.54
2017-06-07,35.28
2017-06-08,34.3
2017-06-09,34.68
2017-06-12,32.33
2017-06-13,33.08
2017-06-14,33.26
2017-06-15,36.59
2017-06-16,35.7
2017-06-19,36.11
2017-06-20,35.52
2017-06-21,34.99
2017-06-22,33.34
2017-06-23,33.7
2017-06-26,33.99
2017-06-27,34.33
2017-06-28,33.5
2017-06-29,33.74
2017-06-30,34.27
2017-07-03,35.16
2017-07-04,34.9
2017-07-05,38.39
2017-07-06,42.23
2017-07-07,46.45
2017-07-10,51.1
2017-07-11,49.85
2017-07-12,52.42
2017-07-13,49.9
2017-07-14,47.33
2017-07-17,47.1
2017-07-18,45.45
2017-07-19,46.22
2017-07-20,43.88
2017-07-21,43.12
2017-07-24,41.99
2017-07-25,43.48
2017-07-26,41.73
2017-07-27,45.9
2017-07-28,46.65
2017-07-31,48.05
2017-08-01,45.1
2017-08-02,43.51
2017-08-03,43.46
2017-08-04,41.23
2017-08-07,41.34
2017-08-08,42.87
2017-08-09,41.65
2017-08-10,41.99
2017-08-11,40.96
2017-08-14,42.03
2017-08-15,43.2
2017-08-16,47.52
2017-08-17,46.71
2017-08-18,48.3
2017-08-21,47.22
2017-08-22,45.28
2017-08-23,45.34
2017-08-24,42.38
2017-08-25,43.3
2017-08-28,45.25
2017-08-29,45.75
2017-08-30,45.05
2017-08-31,48.76
2017-09-01,48.1
2017-09-04,52.91
2017-09-05,53.48
2017-09-06,53.3
2017-09-07,50.94
2017-09-08,51.77
2017-09-11,51.5
2017-09-12,49.9
2017-09-13,50.5
2017-09-14,49.52
2017-09-15,50.62
2017-09-18,52.5
2017-09-19,51.7
2017-09-20,52.25
2017-09-21,52.0
2017-09-22,53.7
2017-09-25,54.7
2017-09-26,49.9
2017-09-27,49.99
2017-09-28,48.0
2017-09-29,48.49
2017-10-09,48.53
2017-10-10,50.2
2017-10-11,48.1
2017-10-12,48.8
2017-10-13,49.18
2017-10-16,44.26
2017-10-17,44.47
2017-10-18,43.66
2017-10-19,44.35
2017-10-20,45.33
2017-10-23,45.22
2017-10-24,44.59
2017-10-25,45.1
2017-10-26,44.66
2017-10-27,45.07
2017-10-30,42.11
2017-10-31,42.36
2017-11-01,42.46
2017-11-02,43.0
2017-11-03,42.8
2017-11-06,44.0
2017-11-07,44.46
2017-11-08,44.58
2017-11-09,44.57
2017-11-10,44.78
2017-11-13,44.47
2017-11-14,42.94
2017-11-15,42.19
2017-11-16,41.15
2017-11-17,37.11
2017-11-20,37.63
2017-11-21,37.25
2017-11-22,37.37
2017-11-23,34.9
2017-11-24,35.0
2017-11-27,34.21
2017-11-28,35.28
2017-11-29,34.57
2017-11-30,34.59
2017-12-01,35.42
2017-12-04,34.68
2017-12-05,33.77
2017-12-06,34.8
2017-12-07,34.37
2017-12-08,35.3
2017-12-11,38.83
2017-12-12,39.1
2017-12-13,39.38
2017-12-14,39.51
2017-12-15,38.47
2017-12-18,36.97
2017-12-19,37.51
2017-12-20,37.05
2017-12-21,37.46
2017-12-22,36.64
2017-12-25,35.1
2017-12-26,35.87
2017-12-27,35.36
2017-12-28,36.36
2017-12-29,36.1
2018-01-02,35.69
2018-01-03,36.07
2018-01-04,35.66
2018-01-05,35.95
2018-01-08,34.92
2018-01-09,34.68
2018-01-10,37.1
2018-01-11,37.55
2018-01-12,36.2
2018-01-15,33.63
2018-01-16,34.05
2018-01-17,34.45
2018-01-18,35.25
2018-01-19,34.64
2018-01-22,36.83
2018-01-23,36.02
2018-01-24,36.75
2018-01-25,35.78
2018-01-26,35.28
2018-01-29,35.12
2018-01-30,34.52
2018-01-31,33.2
2018-02-01,31.0
2018-02-02,29.04
2018-02-05,28.5
2018-02-06,25.65
2018-02-07,25.7
2018-02-08,26.04
2018-02-09,24.45
2018-02-12,25.76
2018-02-13,25.22
2018-02-14,25.13
2018-02-22,26.09
2018-02-23,28.7
2018-02-26,29.36
2018-02-27,28.92
2018-02-28,28.53
2018-03-01,29.4
2018-03-02,28.85
2018-03-05,31.74
2018-03-06,33.18
2018-03-07,32.04
2018-03-08,32.36
2018-03-09,33.3
2018-03-12,34.04
2018-03-13,33.08
2018-03-14,32.01
2018-03-15,30.93
2018-03-16,31.13
2018-03-19,32.13
2018-03-20,32.28
2018-03-21,32.61
2018-03-22,35.87
2018-03-23,36.58
2018-03-26,36.5
2018-03-27,38.53
2018-03-28,36.0
2018-03-29,35.85
2018-03-30,36.9
2018-04-02,37.97
2018-04-03,39.3
2018-04-04,37.42
2018-04-09,37.92
2018-04-10,36.6
2018-04-11,37.83
2018-04-12,38.21
2018-04-13,38.1
2018-04-16,38.93
2018-04-17,35.49
2018-04-18,36.25
2018-04-19,34.96
2018-04-20,33.15
2018-04-23,33.36
2018-04-24,34.59
2018-04-25,35.47
2018-04-26,34.4
2018-04-27,33.55
2018-05-02,33.29
2018-05-03,35.21
2018-05-04,34.47
2018-05-07,35.04
2018-05-08,35.59
2018-05-09,35.41
2018-05-10,35.2
2018-05-11,34.0
2018-05-14,33.59
2018-05-15,35.34
2018-05-16,34.99
2018-05-17,34.9
2018-05-18,35.25
2018-05-21,35.68
2018-05-22,35.99
2018-05-23,35.24
2018-05-24,35.4
2018-05-25,33.62
2018-05-28,33.39
2018-05-29,33.18
2018-05-30,29.86
2018-05-31,30.2
2018-06-01,29.05
2018-06-04,29.7
2018-06-05,30.62
2018-06-06,30.87
2018-06-07,31.75
2018-06-08,31.37
2018-06-11,30.56
2018-06-12,31.86
2018-06-13,31.12
2018-06-14,31.35
2018-06-15,30.5
2018-06-19,27.9
2018-06-20,28.5
2018-06-21,27.2
2018-06-22,27.84
2018-06-25,28.02
2018-06-26,28.8
2018-06-27,28.58
2018-06-28,28.73
2018-06-29,29.75
2018-07-02,29.58
2018-07-03,28.18
2018-07-04,26.7
2018-07-05,25.61
2018-07-06,26.09
2018-07-09,26.86
2018-07-10,27.37
2018-07-11,26.66
2018-07-12,27.83
2018-07-13,27.51
2018-07-16,27.75
2018-07-17,27.8
2018-07-18,28.13
2018-07-19,27.28
2018-07-20,28.07
2018-07-23,27.96
2018-07-24,28.21
2018-07-25,28.78
2018-07-26,28.32
2018-07-27,27.99
2018-07-30,27.97
2018-07-31,27.8
2018-08-01,27.02
2018-08-02,26.28
2018-08-03,25.83
2018-08-06,25.65
2018-08-07,26.5
2018-08-08,25.99
2018-08-09,26.75
2018-08-10,27.99
2018-08-13,28.03
2018-08-14,27.63
2018-08-15,27.52
2018-08-16,27.07
2018-08-17,26.32
2018-08-20,27.97
2018-08-21,27.08
2018-08-22,26.0
2018-08-23,26.51
2018-08-24,26.53
2018-08-27,27.5
2018-08-28,27.48
2018-08-29,27.65
2018-08-30,27.2
2018-08-31,28.03
2018-09-03,28.1
2018-09-04,28.44
2018-09-05,28.85
2018-09-06,29.46
2018-09-07,29.02
2018-09-10,27.9
2018-09-11,28.39
2018-09-12,29.48
2018-09-13,29.36
2018-09-14,28.68
2018-09-17,27.94
2018-09-18,28.3
2018-09-19,28.62
2018-09-20,28.4
2018-09-21,27.96
2018-09-25,26.85
2018-09-26,26.8
2018-09-27,26.17
2018-09-28,26.36
2018-10-08,25.3
2018-10-09,25.15
2018-10-10,25.25
2018-10-11,22.73
2018-10-12,21.77
2018-10-15,21.6
2018-10-16,21.27
2018-10-17,21.89
2018-10-18,20.7
2018-10-19,22.17
2018-10-22,23.15
2018-10-23,22.4
2018-10-24,22.64
