symbol,code,name,change_date,total_shares
sh600000,600000,浦发银行,2025-10-27,33305838300.0
sh600004,600004,白云机场,2025-12-26,2577244598.0
sh600006,600006,东风股份,2025-06-30,2000000000.0
sh600007,600007,中国国贸,2025-06-30,1007282534.0
sh600008,600008,首创环保,2025-06-30,7340590677.0
sh600009,600009,上海机场,2025-11-04,2488313040.0
sh600010,600010,包钢股份,2025-06-30,45288619348.0
sh600011,600011,华能国际,2025-12-31,15698093359.0
sh600012,600012,皖通高速,2025-12-31,1708591889.0
sh600015,600015,华夏银行,2025-06-30,15914928468.0
sh600016,600016,民生银行,2025-06-30,43782418502.0
sh600017,600017,日照港,2025-12-31,3075653888.0
sh600018,600018,上港集团,2025-12-24,23279960504.0
sh600019,600019,宝钢股份,2025-07-24,21782084748.999996
sh600020,600020,中原高速,2025-06-30,2247371832.0
sh600021,600021,上海电力,2025-12-31,2821234944.9999995
sh600022,600022,山东钢铁,2025-06-30,10698849554.0
sh600023,600023,浙能电力,2025-06-30,13408732749.0
sh600025,600025,华能水电,2025-10-14,18631094257.0
sh600026,600026,中远海能,2025-12-31,5465220839.0
sh600027,600027,华电国际,2026-02-24,11611774184.0
sh600028,600028,中国石化,2025-12-31,120925514222.0
sh600029,600029,南方航空,2026-02-28,18120924303.0
sh600030,600030,中信证券,2025-12-31,14820546828.999998
sh600031,600031,三一重工,2025-11-26,9195004437.0
sh600032,600032,浙江新能,2025-06-30,2404675324.0
sh600033,600033,福建高速,2025-06-30,2744400000.0
sh600035,600035,楚天高速,2025-06-30,1610115901.0
sh600036,600036,招商银行,2025-12-31,25219845601.0
sh600037,600037,歌华有线,2025-06-30,1391777884.0
sh600038,600038,中直股份,2025-12-31,819893213.0
sh600039,600039,四川路桥,2026-01-08,8695590645.0
sh600048,600048,保利发展,2025-12-31,11970443418.0
sh600050,600050,中国联通,2025-12-31,31264425327.0
sh600051,600051,宁波联合,2025-06-30,310880000.0
sh600052,600052,东望时代,2025-06-30,844194741.0000001
sh600053,600053,九鼎投资,2025-06-30,433540800.0
sh600054,600054,黄山旅游,2025-06-30,729379440.0
sh600055,600055,万东医疗,2025-12-31,703061058.0
sh600056,600056,中国医药,2025-06-30,1495879748.0
sh600057,600057,厦门象屿,2025-10-16,2840589339.0
sh600058,600058,五矿发展,2025-06-30,1071910711.0
sh600059,600059,古越龙山,2025-06-30,911542413.0
sh600060,600060,海信视像,2025-09-08,1304972254.0
sh600061,600061,国投资本,2026-03-13,6393985434.0
sh600062,600062,华润双鹤,2026-03-16,1038582511.0
sh600063,600063,皖维高新,2025-12-31,2069106449.0000002
sh600064,600064,南京高科,2025-06-30,1730339644.0
sh600066,600066,宇通客车,2025-06-30,2213939223.0
sh600067,600067,冠城新材,2025-06-30,1391668739.0
sh600071,600071,凤凰光学,2025-06-30,281573889.0
sh600072,600072,中船科技,2026-02-25,1500649708.9999998
sh600073,600073,光明肉业,2025-06-30,937729472.0
sh600075,600075,新疆天业,2025-12-31,1707363785.0
sh600076,600076,康欣新材,2025-07-19,1344543367.0000002
sh600078,600078,澄星股份,2025-09-30,676812861.0
sh600080,600080,金花股份,2025-06-30,373270285.0
sh600081,600081,东风科技,2025-06-30,553026170.0
sh600082,600082,海泰发展,2025-06-30,646115826.0
sh600084,600084,中信尼雅,2025-06-30,1123726830.0
sh600085,600085,同仁堂,2025-06-30,1371470262.0
sh600088,600088,中视传媒,2025-06-30,397706400.0
sh600089,600089,特变电工,2025-06-30,5052792571.0
sh600094,600094,大名城,2025-10-14,2324950045.0
sh600095,600095,湘财股份,2025-12-31,2859187743.0
sh600096,600096,云天化,2025-12-31,1822990731.0
sh600097,600097,开创国际,2025-12-31,240936559.00000003
sh600098,600098,广州发展,2025-10-30,3505864981.0000005
sh600099,600099,林海股份,2025-12-31,219120000.0
sh600100,600100,同方股份,2025-06-30,3350297713.0
sh600101,600101,明星电力,2025-12-31,547862471.0
sh600103,600103,青山纸业,2025-08-11,2240826747.0
sh600104,600104,上汽集团,2025-08-29,11495277504.0
sh600105,600105,永鼎股份,2025-06-30,1461994802.0
sh600106,600106,重庆路桥,2025-06-30,1329025062.0
sh600108,600108,亚盛集团,2025-06-30,1946915121.0
sh600109,600109,国金证券,2025-12-05,3705364910.0
sh600110,600110,诺德股份,2025-06-30,1735180932.0
sh600111,600111,北方稀土,2025-06-30,3615065842.0
sh600113,600113,浙江东日,2025-12-31,421176660.0
