rank,symbol,name,rt_price,market_cap,target_weight,open_price,high_price,low_price,prev_close,amount,signal_date,effective_date
1,688701,卓锦股份,9.43,1266235618.0,0.01,10.37,10.37,9.38,9.88,37654522.0,2026-04-10,2026-04-03
2,688296,和达科技,13.76,1484685562.0,0.01,13.73,14.08,13.7,13.67,18263349.0,2026-04-10,2026-04-03
3,002719,麦趣尔,8.6,1497599330.0,0.01,8.73,8.8,8.51,8.65,46926221.0,2026-04-10,2026-04-03
4,002883,中设股份,9.61,1500670365.0,0.01,9.61,9.73,9.54,9.57,31240281.48,2026-04-10,2026-04-03
5,002856,美芝股份,11.25,1522269090.0,0.01,11.3,11.5,11.15,11.29,41756423.0,2026-04-10,2026-04-03
6,600543,莫高股份,4.79,1538164800.0,0.01,4.82,4.86,4.75,4.76,17281226.0,2026-04-10,2026-04-03
7,301098,金埔园林,8.44,1552416287.0,0.01,8.52,8.57,8.36,8.35,40441007.0,2026-04-10,2026-04-03
8,603729,龙韵股份,16.8,1568078400.0,0.01,16.72,17.0,16.61,16.59,35079926.0,2026-04-10,2026-04-03
9,688217,睿昂基因,28.25,1577929062.0,0.01,27.96,28.83,27.67,27.81,27922603.0,2026-04-10,2026-04-03
10,688659,元琛科技,9.88,1580800000.0,0.01,9.74,10.05,9.73,9.68,28359157.0,2026-04-10,2026-04-03
11,600455,博通股份,26.0,1623908000.0,0.01,26.09,26.41,25.81,25.79,45618405.0,2026-04-10,2026-04-03
12,688671,碧兴物联,21.45,1684230405.0,0.01,21.5,21.87,21.35,21.28,20806701.0,2026-04-10,2026-04-03
13,002193,如意集团,6.44,1685448142.0,0.01,6.3,6.49,6.14,6.21,101755252.0,2026-04-10,2026-04-03
14,300417,南华仪器,12.54,1687422528.0,0.01,12.72,12.86,12.48,12.56,41632176.0,2026-04-10,2026-04-03
15,300665,飞鹿股份,7.73,1692450493.0,0.01,7.78,7.84,7.68,7.71,38494011.46,2026-04-10,2026-04-03
16,300929,华骐环保,12.88,1701872473.0,0.01,12.9,13.04,12.75,12.84,37743654.0,2026-04-10,2026-04-03
17,300621,维业股份,8.31,1728951177.0,0.01,8.22,8.4,8.17,8.15,36230340.28,2026-04-10,2026-04-03
18,600476,湘邮科技,10.74,1729891800.0,0.01,10.48,10.92,10.48,10.4,63375814.0,2026-04-10,2026-04-03
19,300405,科隆股份,6.19,1760266833.0,0.01,6.17,6.31,6.13,6.13,52280470.7,2026-04-10,2026-04-03
20,688004,博汇科技,22.14,1773148320.0,0.01,22.0,22.44,21.9,21.87,23357139.0,2026-04-10,2026-04-03
21,688078,龙软科技,24.47,1783691710.0,0.01,24.63,24.85,24.33,24.21,15343923.0,2026-04-10,2026-04-03
22,300295,三六五网,9.48,1797538009.0,0.01,9.55,9.68,9.48,9.45,43826467.0,2026-04-10,2026-04-03
23,600561,江西长运,6.39,1817806752.0,0.01,6.35,6.46,6.27,6.31,29418519.0,2026-04-10,2026-04-03
24,688528,秦川物联,10.84,1821120000.0,0.01,10.77,11.09,10.71,10.73,19605247.0,2026-04-10,2026-04-03
25,688067,爱威科技,26.85,1825800000.0,0.01,26.91,27.26,26.52,26.63,32858875.0,2026-04-10,2026-04-03
26,301167,建研设计,16.51,1849120000.0,0.01,16.65,16.77,16.45,16.45,53580343.18,2026-04-10,2026-04-03
27,300500,启迪设计,10.64,1851092606.0,0.01,10.53,10.78,10.53,10.51,36445129.0,2026-04-10,2026-04-03
28,688793,倍轻松,21.63,1858999413.0,0.01,21.49,22.16,21.4,21.38,40561493.0,2026-04-10,2026-04-03
29,688329,艾隆科技,24.2,1868240000.0,0.01,24.14,24.6,24.06,24.01,38119081.0,2026-04-10,2026-04-03
30,600883,博闻科技,7.94,1874538720.0,0.01,7.98,8.09,7.87,7.93,30105720.0,2026-04-10,2026-04-03
31,688021,奥福科技,24.56,1876720890.0,0.01,24.81,25.24,24.23,24.39,56080939.0,2026-04-10,2026-04-03
32,603880,南卫股份,6.53,1887444260.0,0.01,6.53,6.59,6.4,6.49,36280520.0,2026-04-10,2026-04-03
33,603717,天域生物,6.55,1900457872.0,0.01,6.54,6.64,6.46,6.48,33420058.0,2026-04-10,2026-04-03
34,600697,欧亚集团,11.98,1905875139.0,0.01,11.9,12.06,11.82,11.81,33262418.0,2026-04-10,2026-04-03
35,688565,力源科技,12.76,1910554800.0,0.01,12.8,13.01,12.66,12.7,28740955.0,2026-04-10,2026-04-03
36,603879,永悦科技,5.37,1929679643.0,0.01,5.36,5.47,5.32,5.32,37971782.0,2026-04-10,2026-04-03
37,300169,天晟新材,5.92,1929827293.0,0.01,5.91,6.02,5.89,5.86,41198208.0,2026-04-10,2026-04-03
38,688096,京源环保,8.19,1933206036.0,0.01,8.19,8.34,8.07,8.16,35352564.0,2026-04-10,2026-04-03
39,300635,中达安,13.96,1954595440.0,0.01,14.03,14.11,13.77,14.04,71546975.8,2026-04-10,2026-04-03
40,002494,华斯股份,5.21,1965788841.0,0.01,5.22,5.26,5.13,5.17,59653882.0,2026-04-10,2026-04-03
