action,symbol,name,prev_rank,new_rank,realtime_market_cap,realtime_price,signal_date,effective_date
enter,000632,三木集团,,47.0,2025010130.0,4.35,2026-04-02,2026-04-03
enter,002207,准油股份,,51.0,2046652502.0,7.81,2026-04-02,2026-04-03
enter,300081,ST恒信,,70.0,2098640097.0,3.47,2026-04-02,2026-04-03
enter,688189,南新制药,,75.0,2115624000.0,7.71,2026-04-02,2026-04-03
enter,000056,皇庭国际,,84.0,2152201360.0,1.82,2026-04-02,2026-04-03
enter,002524,光正眼科,,88.0,2159239295.0,4.19,2026-04-02,2026-04-03
enter,002622,皓宸医疗,,95.0,2184000000.0,2.6,2026-04-02,2026-04-03
enter,002227,奥 特 迅,,99.0,2200518790.0,8.88,2026-04-02,2026-04-03
exit,001211,双枪科技,44.0,,,,2026-04-02,2026-04-03
exit,301024,霍普股份,70.0,,,,2026-04-02,2026-04-03
exit,301273,瑞晨环保,73.0,,,,2026-04-02,2026-04-03
exit,688638,誉辰智能,84.0,,,,2026-04-02,2026-04-03
exit,688395,正弦电气,94.0,,,,2026-04-02,2026-04-03
exit,300334,津膜科技,95.0,,,,2026-04-02,2026-04-03
exit,300640,德艺文创,98.0,,,,2026-04-02,2026-04-03
