action,symbol,name,prev_rank,new_rank,signal_date,effective_date
enter,002193,如意集团,,5.0,2026-05-14,2026-05-14
enter,002883,中设股份,,8.0,2026-05-14,2026-05-14
enter,688022,瀚川智能,,12.0,2026-05-14,2026-05-14
enter,600818,中路股份,,24.0,2026-05-14,2026-05-14
enter,300076,GQY视讯,,39.0,2026-05-14,2026-05-14
enter,002198,嘉应制药,,45.0,2026-05-14,2026-05-14
enter,600080,金花股份,,54.0,2026-05-14,2026-05-14
enter,002726,龙大美食,,55.0,2026-05-14,2026-05-14
enter,603378,亚士创能,,64.0,2026-05-14,2026-05-14
enter,600180,瑞茂通,,69.0,2026-05-14,2026-05-14
enter,600491,龙元建设,,75.0,2026-05-14,2026-05-14
enter,301030,仕净科技,,76.0,2026-05-14,2026-05-14
enter,002696,百洋股份,,81.0,2026-05-14,2026-05-14
enter,300645,正元智慧,,82.0,2026-05-14,2026-05-14
enter,300396,迪瑞医疗,,88.0,2026-05-14,2026-05-14
enter,002188,中天服务,,89.0,2026-05-14,2026-05-14
enter,600423,柳化股份,,96.0,2026-05-14,2026-05-14
enter,002634,棒杰股份,,97.0,2026-05-14,2026-05-14
enter,300245,天玑科技,,99.0,2026-05-14,2026-05-14
enter,000677,恒天海龙,,100.0,2026-05-14,2026-05-14
exit,688121,卓然股份,3.0,,2026-05-14,2026-05-14
exit,002207,准油股份,11.0,,2026-05-14,2026-05-14
exit,002856,美芝股份,21.0,,2026-05-14,2026-05-14
exit,688096,京源环保,31.0,,2026-05-14,2026-05-14
exit,688573,信宇人,48.0,,2026-05-14,2026-05-14
exit,603880,南卫股份,50.0,,2026-05-14,2026-05-14
exit,600082,海泰发展,52.0,,2026-05-14,2026-05-14
exit,603717,天域生物,57.0,,2026-05-14,2026-05-14
exit,688670,金迪克,62.0,,2026-05-14,2026-05-14
exit,603959,百利科技,66.0,,2026-05-14,2026-05-14
exit,002743,富煌钢构,67.0,,2026-05-14,2026-05-14
exit,002809,红墙股份,75.0,,2026-05-14,2026-05-14
exit,600847,万里股份,80.0,,2026-05-14,2026-05-14
exit,000911,广农糖业,86.0,,2026-05-14,2026-05-14
exit,300670,大烨智能,87.0,,2026-05-14,2026-05-14
exit,300640,德艺文创,88.0,,2026-05-14,2026-05-14
exit,300013,新宁物流,91.0,,2026-05-14,2026-05-14
exit,001336,楚环科技,95.0,,2026-05-14,2026-05-14
exit,002494,华斯股份,98.0,,2026-05-14,2026-05-14
exit,688426,康为世纪,99.0,,2026-05-14,2026-05-14
