rebalance_date,rank,symbol,name,market_cap,target_weight,signal_date,effective_date
2026-05-14,1,688496,清越科技,999000000.0000001,0.01,2026-05-14,2026-05-14
2026-05-14,2,301139,元道通信,1148938559.9999998,0.01,2026-05-14,2026-05-14
2026-05-14,3,603729,龙韵股份,1314199039.9999998,0.01,2026-05-14,2026-05-14
2026-05-14,4,002719,麦趣尔,1408788207.1299999,0.01,2026-05-14,2026-05-14
2026-05-14,5,002193,如意集团,1410646814.5,0.01,2026-05-14,2026-05-14
2026-05-14,6,688701,卓锦股份,1451538391.32,0.01,2026-05-14,2026-05-14
2026-05-14,7,603359,东珠生态,1503343520.0000002,0.01,2026-05-14,2026-05-14
2026-05-14,8,002883,中设股份,1516286081.86,0.01,2026-05-14,2026-05-14
2026-05-14,9,600543,莫高股份,1589544000.0,0.01,2026-05-14,2026-05-14
2026-05-14,10,688217,睿昂基因,1589658800.16,0.01,2026-05-14,2026-05-14
2026-05-14,11,688296,和达科技,1737168426.0,0.01,2026-05-14,2026-05-14
2026-05-14,12,688022,瀚川智能,1739436624.3600001,0.01,2026-05-14,2026-05-14
2026-05-14,13,000639,西王食品,1770262075.8,0.01,2026-05-14,2026-05-14
2026-05-14,14,600455,博通股份,1814404900.0000002,0.01,2026-05-14,2026-05-14
2026-05-14,15,000610,西安旅游,1825326316.7099998,0.01,2026-05-14,2026-05-14
2026-05-14,16,300594,朗进科技,1826444185.9999998,0.01,2026-05-14,2026-05-14
2026-05-14,17,300621,维业股份,1855865764.0,0.01,2026-05-14,2026-05-14
2026-05-14,18,300929,华骐环保,1877609304.76,0.01,2026-05-14,2026-05-14
2026-05-14,19,000056,皇庭国际,1880219869.8000002,0.01,2026-05-14,2026-05-14
2026-05-14,20,688004,博汇科技,1897284720.0,0.01,2026-05-14,2026-05-14
2026-05-14,21,688565,力源科技,1900073700.0,0.01,2026-05-14,2026-05-14
2026-05-14,22,688659,元琛科技,1913600000.0,0.01,2026-05-14,2026-05-14
2026-05-14,23,688067,爱威科技,1921000000.0,0.01,2026-05-14,2026-05-14
2026-05-14,24,600818,中路股份,1928687460.0000002,0.01,2026-05-14,2026-05-14
2026-05-14,25,688078,龙软科技,1933851290.0000002,0.01,2026-05-14,2026-05-14
2026-05-14,26,301167,建研设计,1965600000.0,0.01,2026-05-14,2026-05-14
2026-05-14,27,688329,艾隆科技,1974775999.9999998,0.01,2026-05-14,2026-05-14
2026-05-14,28,300535,达威股份,1975586670.98,0.01,2026-05-14,2026-05-14
2026-05-14,29,600476,湘邮科技,1977939600.0,0.01,2026-05-14,2026-05-14
2026-05-14,30,600697,欧亚集团,1983828295.25,0.01,2026-05-14,2026-05-14
2026-05-14,31,600493,凤竹纺织,1985600000.0,0.01,2026-05-14,2026-05-14
2026-05-14,32,600561,江西长运,1991337600.0,0.01,2026-05-14,2026-05-14
2026-05-14,33,002691,冀凯股份,1999200000.0,0.01,2026-05-14,2026-05-14
2026-05-14,34,301098,金埔园林,2004897811.1000001,0.01,2026-05-14,2026-05-14
2026-05-14,35,300417,南华仪器,2037286848.0000002,0.01,2026-05-14,2026-05-14
2026-05-14,36,002694,顾地科技,2045067264.0000002,0.01,2026-05-14,2026-05-14
2026-05-14,37,688671,碧兴物联,2047772912.0,0.01,2026-05-14,2026-05-14
2026-05-14,38,000632,三木集团,2052941303.7000003,0.01,2026-05-14,2026-05-14
2026-05-14,39,300076,GQY视讯,2060640000.0,0.01,2026-05-14,2026-05-14
2026-05-14,40,300605,恒锋信息,2069192221.32,0.01,2026-05-14,2026-05-14
2026-05-14,41,300405,科隆股份,2075920498.3,0.01,2026-05-14,2026-05-14
2026-05-14,42,300169,天晟新材,2076520245.8,0.01,2026-05-14,2026-05-14
2026-05-14,43,688793,倍轻松,2082457502.37,0.01,2026-05-14,2026-05-14
2026-05-14,44,603879,永悦科技,2098571529.6000001,0.01,2026-05-14,2026-05-14
2026-05-14,45,002198,嘉应制药,2116316066.1599998,0.01,2026-05-14,2026-05-14
2026-05-14,46,600778,友好集团,2118141193.6000001,0.01,2026-05-14,2026-05-14
2026-05-14,47,688528,秦川物联,2126880000.0,0.01,2026-05-14,2026-05-14
2026-05-14,48,688681,科汇股份,2126894400.0,0.01,2026-05-14,2026-05-14
2026-05-14,49,688695,中创股份,2132238046.46,0.01,2026-05-14,2026-05-14
2026-05-14,50,300500,启迪设计,2132931893.9399998,0.01,2026-05-14,2026-05-14
2026-05-14,51,603860,中公高科,2133093199.9999998,0.01,2026-05-14,2026-05-14
2026-05-14,52,300635,中达安,2147814760.0,0.01,2026-05-14,2026-05-14
2026-05-14,53,300614,百川畅银,2153113912.18,0.01,2026-05-14,2026-05-14
2026-05-14,54,600080,金花股份,2164967653.0,0.01,2026-05-14,2026-05-14
2026-05-14,55,002726,龙大美食,2179904591.7799997,0.01,2026-05-14,2026-05-14
2026-05-14,56,300665,飞鹿股份,2180699470.8,0.01,2026-05-14,2026-05-14
2026-05-14,57,600883,博闻科技,2181453120.0,0.01,2026-05-14,2026-05-14
2026-05-14,58,301336,趣睡科技,2181600000.0,0.01,2026-05-14,2026-05-14
2026-05-14,59,688021,奥福科技,2184668169.03,0.01,2026-05-14,2026-05-14
2026-05-14,60,300163,先锋新材,2185140000.0000005,0.01,2026-05-14,2026-05-14
2026-05-14,61,002316,亚联发展,2185747199.9999995,0.01,2026-05-14,2026-05-14
2026-05-14,62,605567,春雪食品,2186000000.0,0.01,2026-05-14,2026-05-14
2026-05-14,63,603908,牧高笛,2186621678.2400002,0.01,2026-05-14,2026-05-14
2026-05-14,64,603378,亚士创能,2190128840.62,0.01,2026-05-14,2026-05-14
2026-05-14,65,002910,庄园牧场,2195906866.8100004,0.01,2026-05-14,2026-05-14
2026-05-14,66,300886,华业香料,2200557160.0,0.01,2026-05-14,2026-05-14
2026-05-14,67,600303,曙光股份,2201205559.4200006,0.01,2026-05-14,2026-05-14
2026-05-14,68,300923,研奥股份,2202372000.0,0.01,2026-05-14,2026-05-14
2026-05-14,69,600180,瑞茂通,2205853751.9199996,0.01,2026-05-14,2026-05-14
2026-05-14,70,300220,金运激光,2207520000.0,0.01,2026-05-14,2026-05-14
2026-05-14,71,688058,宝兰德,2218977277.4400005,0.01,2026-05-14,2026-05-14
2026-05-14,72,300717,华信新材,2226106500.0,0.01,2026-05-14,2026-05-14
2026-05-14,73,002524,光正眼科,2226232399.6800003,0.01,2026-05-14,2026-05-14
2026-05-14,74,600448,华纺股份,2229561603.48,0.01,2026-05-14,2026-05-14
2026-05-14,75,600491,龙元建设,2233446614.3,0.01,2026-05-14,2026-05-14
2026-05-14,76,301030,仕净科技,2242407296.3999996,0.01,2026-05-14,2026-05-14
2026-05-14,77,688026,洁特生物,2243022233.1,0.01,2026-05-14,2026-05-14
2026-05-14,78,300958,建工修复,2246035177.0699997,0.01,2026-05-14,2026-05-14
2026-05-14,79,002828,贝肯能源,2255080872.0,0.01,2026-05-14,2026-05-14
2026-05-14,80,688466,金科环境,2257408728.96,0.01,2026-05-14,2026-05-14
2026-05-14,81,002696,百洋股份,2258281948.24,0.01,2026-05-14,2026-05-14
2026-05-14,82,300645,正元智慧,2259492873.0000005,0.01,2026-05-14,2026-05-14
2026-05-14,83,301390,经纬股份,2261400000.0,0.01,2026-05-14,2026-05-14
2026-05-14,84,002227,奥 特 迅,2264948393.7999997,0.01,2026-05-14,2026-05-14
2026-05-14,85,603214,爱婴室,2265129588.6,0.01,2026-05-14,2026-05-14
2026-05-14,86,000663,永安林业,2265882842.17,0.01,2026-05-14,2026-05-14
2026-05-14,87,000838,财信发展,2266952070.2,0.01,2026-05-14,2026-05-14
2026-05-14,88,300396,迪瑞医疗,2268865339.5200005,0.01,2026-05-14,2026-05-14
2026-05-14,89,002188,中天服务,2273371854.8,0.01,2026-05-14,2026-05-14
2026-05-14,90,000856,冀东装备,2274540000.0,0.01,2026-05-14,2026-05-14
2026-05-14,91,688393,安必平,2281180501.62,0.01,2026-05-14,2026-05-14
2026-05-14,92,600137,浪莎股份,2283641142.12,0.01,2026-05-14,2026-05-14
2026-05-14,93,600119,长江投资,2286592516.2,0.01,2026-05-14,2026-05-14
2026-05-14,94,603022,新通联,2288000000.0,0.01,2026-05-14,2026-05-14
2026-05-14,95,002820,桂发祥,2295924611.85,0.01,2026-05-14,2026-05-14
2026-05-14,96,600423,柳化股份,2300241674.88,0.01,2026-05-14,2026-05-14
2026-05-14,97,002634,棒杰股份,2301356090.13,0.01,2026-05-14,2026-05-14
2026-05-14,98,002622,皓宸医疗,2301600000.0000005,0.01,2026-05-14,2026-05-14
2026-05-14,99,300245,天玑科技,2303127265.95,0.01,2026-05-14,2026-05-14
2026-05-14,100,000677,恒天海龙,2306821121.16,0.01,2026-05-14,2026-05-14
