rank,symbol,name,rt_price,market_cap,target_weight,change_date,今开,最高,最低,成交额,signal_date,effective_date
1,688701,卓锦股份,9.05,1215210216.6000001,0.02,2025-06-30,8.78,9.14,8.78,22496119.0,2026-04-02,2026-04-03
2,688296,和达科技,13.54,1460947856.3999999,0.02,2025-06-30,12.99,13.6,12.96,24423839.0,2026-04-02,2026-04-03
3,002719,麦趣尔,8.43,1467995622.51,0.02,2025-06-30,8.03,8.48,7.99,81686509.2,2026-04-02,2026-04-03
4,002883,中设股份,9.44,1474123647.04,0.02,2025-06-30,9.06,9.52,9.06,50732176.76,2026-04-02,2026-04-03
5,002856,美芝股份,10.99,1487087759.92,0.02,2025-06-30,10.75,11.09,10.45,50457217.0,2026-04-02,2026-04-03
6,603729,龙韵股份,16.35,1526076300.0000002,0.02,2026-01-30,15.96,16.48,15.71,56684271.0,2026-04-02,2026-04-03
7,688659,元琛科技,9.54,1526399999.9999998,0.02,2025-11-17,9.15,9.55,9.01,38131927.0,2026-04-02,2026-04-03
8,301098,金埔园林,8.32,1530344017.28,0.02,2025-12-31,8.04,8.38,7.99,45615014.0,2026-04-02,2026-04-03
9,600543,莫高股份,4.79,1538164800.0,0.02,2025-06-30,4.61,4.83,4.6,29434579.0,2026-04-02,2026-04-03
10,002193,如意集团,5.93,1551973211.5,0.02,2025-06-30,5.5,5.93,5.22,64778709.0,2026-04-02,2026-04-03
11,688217,睿昂基因,27.81,1553352467.76,0.02,2025-06-30,27.14,28.32,26.89,37784419.0,2026-04-02,2026-04-03
12,600455,博通股份,25.31,1580811980.0,0.02,2025-06-30,24.68,25.48,24.01,81993710.0,2026-04-02,2026-04-03
13,300417,南华仪器,11.98,1612067136.0,0.02,2025-06-30,11.65,12.07,11.55,52037566.0,2026-04-02,2026-04-03
14,300929,华骐环保,12.28,1622592699.6799998,0.02,2025-06-30,11.84,12.5,11.65,62134567.28,2026-04-02,2026-04-03
15,300665,飞鹿股份,7.54,1650850804.2,0.02,2025-08-20,7.15,7.55,7.11,67141866.48,2026-04-02,2026-04-03
16,300621,维业股份,7.96,1656131332.0,0.02,2025-06-30,7.65,7.98,7.6,43618053.2,2026-04-02,2026-04-03
17,688671,碧兴物联,21.28,1670882192.0,0.02,2025-08-11,20.43,21.42,20.41,20525622.0,2026-04-02,2026-04-03
18,600476,湘邮科技,10.39,1673517300.0,0.02,2025-06-30,10.27,10.54,10.1,55656352.0,2026-04-02,2026-04-03
19,688004,博汇科技,21.13,1692259440.0,0.02,2025-10-06,20.44,21.24,20.34,31376147.0,2026-04-02,2026-04-03
20,688078,龙软科技,23.83,1737040189.9999998,0.02,2025-06-30,23.45,24.14,23.2,17051273.0,2026-04-02,2026-04-03
21,300405,科隆股份,6.15,1748891926.65,0.02,2025-06-30,5.88,6.18,5.77,87693139.0,2026-04-02,2026-04-03
22,300295,三六五网,9.31,1765303677.3400002,0.02,2025-06-30,9.29,9.31,9.0,61284467.0,2026-04-02,2026-04-03
23,688528,秦川物联,10.59,1779120000.0,0.02,2025-06-30,10.15,10.64,10.1,19592746.0,2026-04-02,2026-04-03
24,301372,科净源,26.11,1790400037.3,0.02,2025-06-30,25.3,26.3,24.92,36203974.58,2026-04-02,2026-04-03
25,301167,建研设计,16.0,1792000000.0,0.02,2025-06-30,15.63,16.12,15.49,61486309.0,2026-04-02,2026-04-03
26,300500,启迪设计,10.38,1805859140.22,0.02,2025-06-30,10.05,10.38,10.02,46185639.2,2026-04-02,2026-04-03
27,600561,江西长运,6.35,1806427680.0,0.02,2025-06-30,6.12,6.41,6.04,47660017.0,2026-04-02,2026-04-03
28,688021,奥福科技,23.88,1824759561.96,0.02,2025-06-30,23.15,24.56,23.15,94886967.0,2026-04-02,2026-04-03
29,688067,爱威科技,26.91,1829880000.0,0.02,2025-06-30,25.41,26.98,25.07,57850505.0,2026-04-02,2026-04-03
30,688565,力源科技,12.32,1844673600.0,0.02,2025-06-30,12.4,12.54,12.15,34200833.0,2026-04-02,2026-04-03
31,688793,倍轻松,21.48,1846107600.1200001,0.02,2025-06-30,21.79,21.99,21.25,44048585.0,2026-04-02,2026-04-03
32,688329,艾隆科技,23.93,1847396000.0,0.02,2025-06-30,23.19,24.17,22.88,39127344.0,2026-04-02,2026-04-03
33,688573,信宇人,18.99,1856355828.12,0.02,2025-08-18,18.48,19.09,18.38,33465656.0,2026-04-02,2026-04-03
34,300649,杭州园林,14.12,1869722519.08,0.02,2025-06-30,13.56,14.12,13.44,42494586.0,2026-04-02,2026-04-03
35,600883,博闻科技,7.93,1872177840.0,0.02,2025-06-30,7.64,7.97,7.53,52847851.0,2026-04-02,2026-04-03
36,600697,欧亚集团,11.79,1875648404.2499998,0.02,2025-06-30,11.4,11.84,11.4,44914401.0,2026-04-02,2026-04-03
37,688096,京源环保,7.95,1876553011.8,0.02,2025-12-31,7.77,8.22,7.73,59688951.0,2026-04-02,2026-04-03
38,300169,天晟新材,5.79,1887449328.6,0.02,2025-06-30,5.62,5.82,5.54,47559406.0,2026-04-02,2026-04-03
39,688681,科汇股份,18.1,1894527000.0000002,0.02,2025-11-24,17.5,18.29,17.5,38256656.0,2026-04-02,2026-04-03
40,300635,中达安,13.56,1898589840.0,0.02,2026-01-21,13.07,13.63,13.07,61985128.12,2026-04-02,2026-04-03
41,002494,华斯股份,5.05,1905419125.8999999,0.02,2025-06-30,4.88,5.06,4.84,77803653.0,2026-04-02,2026-04-03
42,603880,南卫股份,6.65,1922129300.0,0.02,2025-06-30,6.44,6.73,6.4,48322016.0,2026-04-02,2026-04-03
