时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-02-05 09:35:00,8121.51,8146.93,8146.93,8111.17,-0.73,-60.19,35841721,51052530944.0,0.44,0.36
2026-02-05 09:40:00,8147.35,8150.29,8152.81,8138.61,0.04,3.36,17122806,25959751424.0,0.17,0.17
2026-02-05 09:45:00,8152.31,8135.65,8154.56,8129.94,-0.18,-14.64,11613799,20348095248.0,0.3,0.12
2026-02-05 09:50:00,8135.51,8133.91,8146.4,8133.91,-0.02,-1.74,10642514,18216625600.0,0.15,0.11
2026-02-05 09:55:00,8133.39,8117.7,8136.05,8117.7,-0.2,-16.21,9531617,16557267328.0,0.23,0.1
2026-02-05 10:00:00,8118.57,8091.71,8124.67,8091.71,-0.32,-25.99,9714081,17241303904.0,0.41,0.1
2026-02-05 10:05:00,8090.8,8087.81,8094.69,8081.33,-0.05,-3.9,10529443,16264256224.0,0.17,0.11
2026-02-05 10:10:00,8088.38,8077.19,8088.38,8071.06,-0.13,-10.62,9100320,13496147616.0,0.21,0.09
2026-02-05 10:15:00,8077.72,8075.78,8086.42,8070.04,-0.02,-1.41,6955891,11537876112.0,0.2,0.07
2026-02-05 10:20:00,8073.23,8053.3,8073.23,8043.67,-0.28,-22.48,9186175,14259411776.0,0.37,0.09
2026-02-05 10:25:00,8051.55,8055.97,8062.23,8044.99,0.03,2.67,5916088,10352537424.0,0.21,0.06
2026-02-05 10:30:00,8055.8,8060.01,8063.28,8049.95,0.05,4.04,5183914,8569358272.0,0.17,0.05
2026-02-05 10:35:00,8059.86,8083.89,8084.19,8059.61,0.3,23.88,4518381,7566500016.0,0.3,0.05
2026-02-05 10:40:00,8084.46,8085.27,8090.47,8081.62,0.02,1.38,4169358,6860730800.0,0.11,0.04
2026-02-05 10:45:00,8086.04,8092.75,8092.75,8078.47,0.09,7.48,4284800,6546483008.0,0.18,0.04
2026-02-05 10:50:00,8092.69,8061.35,8092.69,8060.54,-0.39,-31.4,5510764,8143825360.0,0.4,0.06
2026-02-05 10:55:00,8062.12,8040.08,8062.12,8037.28,-0.26,-21.27,6011488,8902780624.0,0.31,0.06
2026-02-05 11:00:00,8040.42,8058.32,8058.32,8030.64,0.23,18.24,4674365,7178869744.0,0.34,0.05
2026-02-05 11:05:00,8058.55,8070.36,8076.15,8058.51,0.15,12.04,3308791,5650037920.0,0.22,0.03
2026-02-05 11:10:00,8070.74,8065.49,8076.63,8057.22,-0.06,-4.87,3133177,5127760400.0,0.24,0.03
