时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-02-05 09:35:00,28.81,28.84,28.84,28.53,0.63,0.18,696,1997110.0,1.08,0.1
2026-02-05 09:40:00,28.85,28.75,28.9,28.75,-0.31,-0.09,319,920220.0,0.52,0.04
2026-02-05 09:45:00,28.75,28.83,28.83,28.71,0.28,0.08,179,514503.0,0.42,0.02
2026-02-05 09:50:00,28.8,29.03,29.05,28.69,0.69,0.2,146,422167.0,1.25,0.02
2026-02-05 09:55:00,28.99,28.91,29.2,28.91,-0.41,-0.12,275,796993.0,1.0,0.04
2026-02-05 10:00:00,29.0,29.0,29.09,29.0,0.31,0.09,150,434266.0,0.31,0.02
2026-02-05 10:05:00,29.01,29.05,29.06,28.96,0.17,0.05,110,319401.0,0.34,0.02
2026-02-05 10:10:00,29.0,28.92,29.03,28.9,-0.45,-0.13,78,226831.0,0.45,0.01
2026-02-05 10:15:00,28.87,28.96,28.96,28.8,0.14,0.04,85,245782.0,0.55,0.01
2026-02-05 10:20:00,28.87,28.8,28.93,28.8,-0.55,-0.16,111,320353.0,0.45,0.02
2026-02-05 10:25:00,28.85,28.86,28.97,28.85,0.21,0.06,780,2253434.0,0.42,0.11
2026-02-05 10:30:00,28.85,28.9,28.96,28.85,0.14,0.04,103,298596.0,0.38,0.01
2026-02-05 10:35:00,28.9,29.0,29.01,28.9,0.35,0.1,273,791649.0,0.38,0.04
2026-02-05 10:40:00,29.0,28.94,29.0,28.9,-0.21,-0.06,60,173952.0,0.34,0.01
2026-02-05 10:45:00,28.94,28.97,28.98,28.93,0.1,0.03,31,89833.0,0.17,0.0
2026-02-05 10:50:00,29.0,28.93,29.0,28.89,-0.14,-0.04,39,113677.0,0.38,0.01
2026-02-05 10:55:00,28.93,28.77,28.93,28.77,-0.55,-0.16,398,1147450.0,0.55,0.05
2026-02-05 11:00:00,28.75,28.77,28.8,28.7,0.0,0.0,228,655901.0,0.35,0.03
2026-02-05 11:05:00,28.75,28.67,28.83,28.67,-0.35,-0.1,242,697078.0,0.56,0.03
2026-02-05 11:10:00,28.69,28.67,28.71,28.65,0.0,0.0,130,371706.0,0.21,0.02
2026-02-05 11:15:00,28.67,28.63,28.73,28.63,-0.14,-0.04,298,855282.0,0.35,0.04
2026-02-05 11:20:00,28.63,28.64,28.69,28.58,0.03,0.01,177,505676.0,0.38,0.02
2026-02-05 11:25:00,28.64,28.8,28.82,28.62,0.56,0.16,373,1069837.0,0.7,0.05
2026-02-05 11:30:00,28.8,28.81,28.84,28.76,0.03,0.01,107,308800.0,0.28,0.01
2026-02-05 13:05:00,28.8,28.74,28.81,28.68,-0.24,-0.07,116,332281.0,0.45,0.02
2026-02-05 13:10:00,28.74,28.64,28.74,28.64,-0.35,-0.1,64,184154.0,0.35,0.01
2026-02-05 13:15:00,28.67,28.64,28.68,28.62,0.0,0.0,76,218514.0,0.21,0.01
2026-02-05 13:20:00,28.65,28.77,28.77,28.65,0.45,0.13,56,160839.0,0.42,0.01
2026-02-05 13:25:00,28.77,28.76,28.79,28.76,-0.03,-0.01,27,78911.0,0.1,0.0
2026-02-05 13:30:00,28.76,28.75,28.76,28.71,-0.03,-0.01,31,90248.0,0.17,0.0
2026-02-05 13:35:00,28.72,28.66,28.75,28.66,-0.31,-0.09,83,237563.0,0.31,0.01
2026-02-05 13:40:00,28.65,28.62,28.66,28.61,-0.14,-0.04,91,259876.0,0.17,0.01
2026-02-05 13:45:00,28.66,28.73,28.74,28.62,0.38,0.11,171,490734.0,0.42,0.02
