day,open,high,low,close,volume,amount
2026-01-22 11:25:00,8.860,8.860,8.840,8.840,181801,1608743.8606
2026-01-22 11:30:00,8.850,8.860,8.840,8.850,216600,1916808.0459
2026-01-22 13:05:00,8.840,8.850,8.810,8.810,396499,3500510.1890
2026-01-22 13:10:00,8.820,8.830,8.810,8.820,369101,3257286.8014
2026-01-22 13:15:00,8.830,8.920,8.820,8.890,409200,3632048.0253
2026-01-22 13:20:00,8.880,8.890,8.850,8.860,190200,1686672.9904
2026-01-22 13:25:00,8.850,8.850,8.790,8.830,410800,3621451.0264
2026-01-22 13:30:00,8.830,8.850,8.820,8.840,167100,1475717.0009
2026-01-22 13:35:00,8.840,8.840,8.830,8.830,142900,1262386.0000
2026-01-22 13:40:00,8.830,8.840,8.820,8.840,259600,2293020.0000
2026-01-22 13:45:00,8.840,8.860,8.840,8.850,195900,1733008.0388
2026-01-22 13:50:00,8.840,8.880,8.840,8.870,161400,1431101.0023
2026-01-22 13:55:00,8.870,8.880,8.860,8.860,176100,1561718.9875
2026-01-22 14:00:00,8.860,8.870,8.830,8.840,185000,1637050.0238
2026-01-22 14:05:00,8.840,8.870,8.830,8.860,261200,2312183.9662
2026-01-22 14:10:00,8.860,8.870,8.850,8.870,281600,2495601.9383
2026-01-22 14:15:00,8.860,8.870,8.850,8.850,305100,2703090.0018
2026-01-22 14:20:00,8.850,8.870,8.850,8.860,321900,2850712.0046
2026-01-22 14:25:00,8.870,8.870,8.850,8.850,246800,2187123.9574
2026-01-22 14:30:00,8.850,8.870,8.850,8.870,444700,3942226.9334
2026-01-22 14:35:00,8.870,8.920,8.860,8.910,666000,5922513.9722
2026-01-22 14:40:00,8.910,8.920,8.870,8.870,388500,3453521.9893
2026-01-22 14:45:00,8.870,8.880,8.830,8.840,907800,8041152.9874
2026-01-22 14:50:00,8.840,8.860,8.830,8.850,1325800,11730047.2218
2026-01-22 14:55:00,8.860,8.870,8.850,8.860,1582000,14021515.8675
2026-01-22 15:00:00,8.860,8.890,8.850,8.890,1546700,13725846.9861
2026-01-23 09:35:00,8.680,8.790,8.620,8.730,5910600,51322990.9749
2026-01-23 09:40:00,8.720,8.880,8.690,8.840,2450500,21489903.5994
2026-01-23 09:45:00,8.830,8.850,8.800,8.830,1627300,14358715.1515
2026-01-23 09:50:00,8.820,8.860,8.810,8.820,1389800,12276550.1373
2026-01-23 09:55:00,8.840,8.850,8.800,8.850,1259400,11109420.2167
2026-01-23 10:00:00,8.860,8.860,8.760,8.780,913500,8041835.2017
2026-01-23 10:05:00,8.790,8.800,8.720,8.750,1671300,14655353.2838
2026-01-23 10:10:00,8.750,8.810,8.740,8.790,1171100,10280082.2501
2026-01-23 10:15:00,8.780,8.810,8.780,8.790,494900,4352879.0185
2026-01-23 10:20:00,8.790,8.820,8.780,8.790,482300,4244643.0405
2026-01-23 10:25:00,8.800,8.800,8.770,8.780,657100,5769576.0950
2026-01-23 10:30:00,8.790,8.800,8.770,8.770,326400,2867904.0202
2026-01-23 10:35:00,8.780,8.810,8.770,8.790,521400,4579890.0739
2026-01-23 10:40:00,8.790,8.800,8.760,8.790,436219,3828664.1151
2026-01-23 10:45:00,8.780,8.790,8.760,8.790,332200,2915901.0591
2026-01-23 10:50:00,8.790,8.800,8.770,8.790,416900,3665827.0001
2026-01-23 10:55:00,8.790,8.840,8.780,8.830,386400,3405880.0288
2026-01-23 11:00:00,8.830,8.830,8.770,8.800,756300,6649387.1888
2026-01-23 11:05:00,8.800,8.840,8.800,8.830,246700,2176682.0020
2026-01-23 11:10:00,8.830,8.840,8.800,8.820,327600,2889215.0303
2026-01-23 11:15:00,8.820,8.820,8.800,8.810,241100,2123806.0471
