时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-02-05 09:35:00,14.05,14.07,14.1,13.91,0.72,0.1,5304,7437739.0,1.36,0.58
2026-02-05 09:40:00,14.07,14.07,14.12,13.99,0.0,0.0,2210,3105110.0,0.92,0.24
2026-02-05 09:45:00,14.08,14.12,14.19,14.07,0.36,0.05,2915,4117472.0,0.85,0.32
2026-02-05 09:50:00,14.13,14.12,14.17,14.1,0.0,0.0,1428,2018767.0,0.5,0.16
2026-02-05 09:55:00,14.12,14.18,14.18,14.1,0.42,0.06,1475,2086266.0,0.57,0.16
2026-02-05 10:00:00,14.18,14.19,14.24,14.18,0.07,0.01,2742,3896052.0,0.42,0.3
2026-02-05 10:05:00,14.19,14.14,14.21,14.14,-0.35,-0.05,776,1100227.0,0.49,0.09
2026-02-05 10:10:00,14.14,14.13,14.16,14.12,-0.07,-0.01,717,1013515.0,0.28,0.08
2026-02-05 10:15:00,14.12,14.13,14.15,14.11,0.0,0.0,759,1072335.0,0.28,0.08
2026-02-05 10:20:00,14.13,14.1,14.15,14.1,-0.21,-0.03,581,820563.0,0.35,0.06
2026-02-05 10:25:00,14.11,14.12,14.13,14.09,0.14,0.02,671,946826.0,0.28,0.07
2026-02-05 10:30:00,14.11,14.08,14.14,14.08,-0.28,-0.04,491,692717.0,0.42,0.05
2026-02-05 10:35:00,14.09,14.13,14.15,14.09,0.36,0.05,704,994178.0,0.43,0.08
2026-02-05 10:40:00,14.14,14.1,14.14,14.1,-0.21,-0.03,402,567368.0,0.28,0.04
2026-02-05 10:45:00,14.12,14.1,14.13,14.09,0.0,0.0,381,537460.0,0.28,0.04
2026-02-05 10:50:00,14.1,14.06,14.1,14.05,-0.28,-0.04,501,704871.0,0.35,0.06
2026-02-05 10:55:00,14.07,14.06,14.07,14.02,0.0,0.0,537,754671.0,0.36,0.06
2026-02-05 11:00:00,14.04,14.05,14.06,14.03,-0.07,-0.01,593,832850.0,0.21,0.07
2026-02-05 11:05:00,14.05,14.03,14.07,14.03,-0.14,-0.02,560,787009.0,0.28,0.06
2026-02-05 11:10:00,14.02,14.03,14.03,14.0,0.0,0.0,438,614064.0,0.21,0.05
2026-02-05 11:15:00,14.03,14.01,14.04,14.0,-0.14,-0.02,442,619314.0,0.29,0.05
2026-02-05 11:20:00,14.01,14.01,14.03,14.0,0.0,0.0,327,458010.0,0.21,0.04
2026-02-05 11:25:00,14.0,14.04,14.04,13.99,0.21,0.03,464,650212.0,0.36,0.05
2026-02-05 11:30:00,14.03,14.04,14.04,14.03,0.0,0.0,249,349522.0,0.07,0.03
2026-02-05 13:05:00,14.02,14.02,14.04,14.0,-0.14,-0.02,853,1195884.0,0.28,0.09
2026-02-05 13:10:00,14.02,14.01,14.03,13.98,-0.07,-0.01,574,803755.0,0.36,0.06
2026-02-05 13:15:00,14.01,13.99,14.01,13.97,-0.14,-0.02,446,623758.0,0.29,0.05
2026-02-05 13:20:00,13.99,14.02,14.03,13.99,0.21,0.03,309,432812.0,0.29,0.03
2026-02-05 13:25:00,14.01,13.99,14.02,13.99,-0.21,-0.03,210,294128.0,0.21,0.02
2026-02-05 13:30:00,13.99,14.0,14.0,13.98,0.07,0.01,185,258813.0,0.14,0.02
2026-02-05 13:35:00,14.0,13.97,14.01,13.96,-0.21,-0.03,1089,1521756.0,0.36,0.12
2026-02-05 13:40:00,13.96,13.99,14.0,13.93,0.14,0.02,461,643571.0,0.5,0.05
2026-02-05 13:45:00,13.99,14.0,14.02,13.99,0.07,0.01,270,377995.0,0.21,0.03
2026-02-05 13:50:00,14.01,14.0,14.02,14.0,0.0,0.0,383,536415.0,0.14,0.04
2026-02-05 13:55:00,14.0,13.98,14.01,13.98,-0.14,-0.02,401,561328.0,0.21,0.04
2026-02-05 14:00:00,13.98,13.98,13.99,13.97,0.0,0.0,730,1020507.0,0.14,0.08
2026-02-05 14:05:00,13.98,13.98,13.99,13.97,0.0,0.0,675,943770.0,0.14,0.07
2026-02-05 14:10:00,13.99,14.01,14.01,13.99,0.21,0.03,310,433997.0,0.14,0.03
2026-02-05 14:15:00,14.01,14.0,14.02,13.99,-0.07,-0.01,279,390770.0,0.21,0.03
2026-02-05 14:20:00,14.0,13.97,14.0,13.96,-0.21,-0.03,535,747649.0,0.29,0.06
2026-02-05 14:25:00,13.97,13.91,13.97,13.88,-0.43,-0.06,1952,2716536.0,0.64,0.21
