symbol,exchange,board,list_date,delist_date,name,source
000001,SZSE,主板,1991-04-03,,平安银行,sz_current
000002,SZSE,主板,1991-01-29,,万  科Ａ,sz_current
000003,SZSE,主板,1991-01-14,2002-06-14,PT金田Ａ,sz_delist
000004,SZSE,主板,1990-12-01,,*ST国华,sz_current
000005,SZSE,主板,1990-12-10,2024-04-26,ST星源,sz_delist
000006,SZSE,主板,1992-04-27,,深振业Ａ,sz_current
000007,SZSE,主板,1992-04-13,,全新好,sz_current
000008,SZSE,主板,1992-05-07,,神州高铁,sz_current
000009,SZSE,主板,1991-06-25,,中国宝安,sz_current
000010,SZSE,主板,1995-10-27,,美丽生态,sz_current
000011,SZSE,主板,1992-03-30,,深物业A,sz_current
000012,SZSE,主板,1992-02-28,,南  玻Ａ,sz_current
000013,SZSE,主板,1992-05-06,2004-09-20,*ST石化A,sz_delist
000014,SZSE,主板,1992-06-02,,沙河股份,sz_current
000015,SZSE,主板,1992-06-25,2001-10-25,PT中浩Ａ,sz_delist
000016,SZSE,主板,1992-03-27,,深康佳Ａ,sz_current
000017,SZSE,主板,1992-03-31,,深中华A,sz_current
000018,SZSE,主板,1992-06-16,2020-01-07,神城A退,sz_delist
000019,SZSE,主板,1992-10-12,,深粮控股,sz_current
000020,SZSE,主板,1992-04-28,,深华发Ａ,sz_current
000021,SZSE,主板,1994-02-02,,深科技,sz_current
000023,SZSE,主板,1993-04-29,2024-09-02,*ST深天,sz_delist
000024,SZSE,主板,1993-06-07,2015-12-30,招商地产,sz_delist
000025,SZSE,主板,1993-06-21,,特  力Ａ,sz_current
000026,SZSE,主板,1993-06-03,,飞亚达,sz_current
000027,SZSE,主板,1993-09-03,,深圳能源,sz_current
000028,SZSE,主板,1993-08-09,,国药一致,sz_current
000029,SZSE,主板,1993-09-15,,深深房Ａ,sz_current
000030,SZSE,主板,1993-09-29,,富奥股份,sz_current
000031,SZSE,主板,1993-10-08,,大悦城,sz_current
000032,SZSE,主板,1993-10-28,,深桑达Ａ,sz_current
000033,SZSE,主板,1994-01-03,2017-07-07,新都退,sz_delist
000034,SZSE,主板,1994-05-09,,神州数码,sz_current
000035,SZSE,主板,1994-04-08,,中国天楹,sz_current
000036,SZSE,主板,1994-06-17,,华联控股,sz_current
000037,SZSE,主板,1994-07-01,,深南电A,sz_current
000038,SZSE,主板,1994-08-08,2023-07-12,大通退,sz_delist
000039,SZSE,主板,1994-04-08,,中集集团,sz_current
000040,SZSE,主板,1994-08-08,2025-04-30,*ST旭蓝,sz_delist
000042,SZSE,主板,1994-09-21,,中洲控股,sz_current
000045,SZSE,主板,1994-08-15,,深纺织Ａ,sz_current
000046,SZSE,主板,1994-09-12,2024-02-07,*ST泛海,sz_delist
000047,SZSE,主板,1994-10-21,2003-05-30,ST 中 侨,sz_delist
000048,SZSE,主板,1994-11-01,,京基智农,sz_current
000049,SZSE,主板,1995-03-20,,德赛电池,sz_current
000050,SZSE,主板,1995-03-15,,深天马Ａ,sz_current
000055,SZSE,主板,1996-04-15,,方大集团,sz_current
000056,SZSE,主板,1996-07-08,,皇庭国际,sz_current
000058,SZSE,主板,1996-12-26,,深 赛 格,sz_current
000059,SZSE,主板,1997-01-30,,华锦股份,sz_current
000060,SZSE,主板,1997-01-23,,中金岭南,sz_current
000061,SZSE,主板,1997-01-10,,农 产 品,sz_current
000062,SZSE,主板,1997-01-30,,深圳华强,sz_current
000063,SZSE,主板,1997-11-18,,中兴通讯,sz_current
000065,SZSE,主板,1998-06-05,,北方国际,sz_current
000066,SZSE,主板,1997-06-26,,中国长城,sz_current
000068,SZSE,主板,1997-06-11,,华控赛格,sz_current
000069,SZSE,主板,1997-09-10,,华侨城Ａ,sz_current
000070,SZSE,主板,2000-05-11,,特发信息,sz_current
000078,SZSE,主板,1998-12-18,,海王生物,sz_current
000088,SZSE,主板,1997-07-28,,盐 田 港,sz_current
000089,SZSE,主板,1998-04-20,,深圳机场,sz_current
000090,SZSE,主板,1999-07-21,,天健集团,sz_current
000096,SZSE,主板,2000-07-24,,广聚能源,sz_current
000099,SZSE,主板,2000-07-31,,中信海直,sz_current
000100,SZSE,主板,2004-01-30,,TCL科技,sz_current
000150,SZSE,主板,2000-08-07,2023-06-09,*ST宜康,sz_delist
000151,SZSE,主板,2000-09-06,,中成股份,sz_current
000153,SZSE,主板,2000-09-20,,丰原药业,sz_current
000155,SZSE,主板,2000-09-26,,川能动力,sz_current
000156,SZSE,主板,2000-09-06,,华数传媒,sz_current
000157,SZSE,主板,2000-10-12,,中联重科,sz_current
000158,SZSE,主板,2000-07-24,,常山北明,sz_current
000159,SZSE,主板,2000-09-26,,国际实业,sz_current
000166,SZSE,主板,2015-01-26,,申万宏源,sz_current
000301,SZSE,主板,2000-05-29,,东方盛虹,sz_current
000333,SZSE,主板,2013-09-18,,美的集团,sz_current
000338,SZSE,主板,2007-04-30,,潍柴动力,sz_current
000400,SZSE,主板,1997-04-18,,许继电气,sz_current
000401,SZSE,主板,1996-06-14,,金隅冀东,sz_current
000402,SZSE,主板,1996-06-26,,金 融 街,sz_current
000403,SZSE,主板,1996-06-28,,派林生物,sz_current
000404,SZSE,主板,1996-06-19,,长虹华意,sz_current
000405,SZSE,主板,1996-06-20,2004-03-19,ST 鑫 光,sz_delist
000406,SZSE,主板,1996-06-28,2006-04-21,大明退市,sz_delist
000407,SZSE,主板,1996-07-03,,胜利股份,sz_current
000408,SZSE,主板,1996-06-28,,藏格矿业,sz_current
000409,SZSE,主板,1996-06-27,,云鼎科技,sz_current
000410,SZSE,主板,1996-07-18,,沈阳机床,sz_current
000411,SZSE,主板,1996-07-16,,英特集团,sz_current
000412,SZSE,主板,1996-07-15,2003-09-19,ST 五 环,sz_delist
000413,SZSE,主板,1996-09-25,2024-10-11,ST旭电,sz_delist
000415,SZSE,主板,1996-07-16,,渤海租赁,sz_current
000416,SZSE,主板,1996-07-19,2024-06-05,*ST民控,sz_delist
000417,SZSE,主板,1996-08-12,,合百集团,sz_current
000418,SZSE,主板,1997-03-28,2019-06-21,小天鹅Ａ,sz_delist
000419,SZSE,主板,1996-08-16,,通程控股,sz_current
000420,SZSE,主板,1996-08-02,,吉林化纤,sz_current
000421,SZSE,主板,1996-08-06,,南京公用,sz_current
000422,SZSE,主板,1996-08-15,,湖北宜化,sz_current
000423,SZSE,主板,1996-07-29,,东阿阿胶,sz_current
000425,SZSE,主板,1996-08-28,,徐工机械,sz_current
000426,SZSE,主板,1996-08-28,,兴业银锡,sz_current
000428,SZSE,主板,1996-08-08,,华天酒店,sz_current
000429,SZSE,主板,1998-02-20,,粤高速Ａ,sz_current
000430,SZSE,主板,1996-08-29,,ST张家界,sz_current
000488,SZSE,主板,2000-11-20,,ST晨鸣,sz_current
000498,SZSE,主板,1997-06-09,,山东路桥,sz_current
000501,SZSE,主板,1992-11-20,,武商集团,sz_current
000502,SZSE,主板,1992-11-23,2022-06-27,绿景退,sz_delist
000503,SZSE,主板,1992-11-30,,国新健康,sz_current
000504,SZSE,主板,1992-12-08,,*ST生物,sz_current
000505,SZSE,主板,1992-12-21,,京粮控股,sz_current
000506,SZSE,主板,1993-03-12,,招金黄金,sz_current
000507,SZSE,主板,1993-03-26,,珠海港,sz_current
000508,SZSE,主板,1993-04-30,1999-07-12,琼民源Ａ,sz_delist
000509,SZSE,主板,1993-05-07,,华塑控股,sz_current
000510,SZSE,主板,1993-05-07,,新金路,sz_current
000511,SZSE,主板,1993-05-18,2018-07-18,烯碳退,sz_delist
000513,SZSE,主板,1993-10-28,,丽珠集团,sz_current
000514,SZSE,主板,1993-07-12,,渝 开 发,sz_current
000515,SZSE,主板,1993-07-12,2009-05-06,攀渝钛业,sz_delist
000516,SZSE,主板,1993-08-09,,国际医学,sz_current
000517,SZSE,主板,1993-08-06,,荣安地产,sz_current
000518,SZSE,主板,1993-09-08,,*ST四环,sz_current
000519,SZSE,主板,1993-10-08,,中兵红箭,sz_current
000520,SZSE,主板,1993-10-25,,凤凰航运,sz_current
000521,SZSE,主板,1993-10-18,,长虹美菱,sz_current
000522,SZSE,主板,1993-11-08,2013-04-26,白云山Ａ,sz_delist
000523,SZSE,主板,1993-11-08,,红棉股份,sz_current
000524,SZSE,主板,1993-11-18,,岭南控股,sz_current
000525,SZSE,主板,1993-10-28,,红太阳,sz_current
000526,SZSE,主板,1993-11-01,,学大教育,sz_current
000527,SZSE,主板,1993-11-12,2013-09-18,美的电器,sz_delist
000528,SZSE,主板,1993-11-18,,柳    工,sz_current
000529,SZSE,主板,1993-11-18,,广弘控股,sz_current
000530,SZSE,主板,1993-12-08,,冰山冷热,sz_current
000531,SZSE,主板,1994-01-06,,穗恒运Ａ,sz_current
000532,SZSE,主板,1994-01-03,,华金资本,sz_current
000533,SZSE,主板,1994-01-03,,顺钠股份,sz_current
000534,SZSE,主板,1994-01-10,,万泽股份,sz_current
000535,SZSE,主板,1993-11-30,2005-09-21,*ST 猴王,sz_delist
000536,SZSE,主板,1993-11-26,,华映科技,sz_current
000537,SZSE,主板,1993-12-10,,绿发电力,sz_current
000538,SZSE,主板,1993-12-15,,云南白药,sz_current
000539,SZSE,主板,1993-11-26,,粤电力Ａ,sz_current
000540,SZSE,主板,1994-02-02,2023-06-30,*ST中天,sz_delist
000541,SZSE,主板,1993-11-23,,佛山照明,sz_current
000542,SZSE,主板,1993-12-01,2004-01-13,TCL 通讯,sz_delist
000543,SZSE,主板,1993-12-20,,皖能电力,sz_current
000544,SZSE,主板,1993-12-08,,中原环保,sz_current
000545,SZSE,主板,1993-12-15,,金浦钛业,sz_current
000546,SZSE,主板,1993-12-15,,金圆股份,sz_current
000547,SZSE,主板,1993-11-30,,航天发展,sz_current
