change_date,total_shares_10k,reason
2016-08-31,10000.0,A股上市
2016-12-31,10000.0,定期报告
2017-06-30,10000.0,定期报告
2017-08-31,10000.0,限售股份上市
2017-12-31,10000.0,定期报告
2018-06-30,10000.0,定期报告
2018-12-31,10000.0,定期报告
2019-06-30,10000.0,定期报告
2019-09-02,10000.0,限售股份上市
2019-12-31,10000.0,定期报告
2020-06-30,10000.0,定期报告
2020-12-31,10000.0,定期报告
2021-06-30,10000.0,定期报告
2021-12-31,10000.0,定期报告
2022-06-30,10000.0,定期报告
2022-12-31,10000.0,定期报告
2023-06-30,10000.0,定期报告
2023-12-31,10000.0,定期报告
2024-06-30,10000.0,定期报告
2024-12-31,10000.0,定期报告
2025-06-30,10000.0,定期报告
