date,open,close,high,low
2015-04-24,16.98,18.53,18.53,16.98
2015-04-27,20.38,20.38,20.38,20.38
2015-04-28,22.42,22.42,22.42,22.42
2015-04-29,24.66,24.66,24.66,24.66
2015-04-30,27.13,27.13,27.13,27.13
2015-05-04,29.84,29.84,29.84,29.84
2015-05-05,32.82,32.82,32.82,32.82
2015-05-06,36.1,36.1,36.1,36.1
2015-05-07,39.71,39.71,39.71,39.71
2015-05-08,43.68,43.68,43.68,43.68
2015-05-11,48.05,48.05,48.05,48.05
2015-05-12,52.86,52.86,52.86,52.86
2015-05-13,58.15,58.15,58.15,58.15
2015-05-14,63.97,63.97,63.97,63.97
2015-05-15,70.37,70.37,70.37,70.37
2015-05-18,77.41,77.41,77.41,77.41
2015-05-19,85.15,85.15,85.15,85.15
2015-05-20,93.67,93.67,93.67,93.67
2015-05-21,103.04,103.04,103.04,103.04
2015-05-22,113.34,113.34,113.34,113.34
2015-05-25,124.67,124.67,124.67,124.67
2015-05-26,137.14,137.14,137.14,137.14
2015-05-27,150.85,150.85,150.85,150.85
2015-05-28,165.94,165.94,165.94,165.94
2015-05-29,182.53,182.53,182.53,150.96
2015-06-01,200.78,200.78,200.78,186.15
2015-06-02,189.0,180.7,193.0,180.7
2015-06-03,171.88,177.5,181.7,164.0
2015-06-04,171.0,160.0,173.02,159.75
2015-06-05,166.0,166.0,170.6,158.38
2015-06-08,162.0,149.4,165.0,149.4
2015-06-09,142.1,143.0,147.42,137.48
2015-06-10,140.2,155.97,157.3,140.2
2015-06-11,150.13,157.29,159.99,150.11
2015-06-12,159.59,149.09,162.96,148.0
2015-06-15,145.5,134.18,147.01,134.18
2015-06-16,128.16,134.8,141.77,123.8
2015-06-17,133.0,137.38,137.98,128.88
2015-06-18,134.0,133.0,144.01,132.08
2015-06-19,127.5,123.6,138.01,122.28
2015-06-23,126.46,135.96,135.96,120.13
2015-06-24,136.5,138.99,147.28,136.0
2015-06-25,139.55,126.0,139.55,125.09
2015-06-26,120.5,113.4,121.8,113.4
2015-06-29,115.26,102.06,115.26,102.06
2015-06-30,96.03,103.79,105.35,91.85
2015-07-01,99.68,93.41,108.4,93.41
2015-07-02,88.08,84.07,92.97,84.07
2015-07-03,77.0,75.66,81.0,75.66
2015-07-06,80.0,68.09,82.0,68.09
2015-07-07,62.04,61.28,62.04,61.28
2015-07-14,67.41,67.41,67.41,67.41
2015-07-15,74.15,71.8,74.15,69.7
2015-07-16,71.8,72.1,76.32,64.62
2015-07-17,72.69,79.31,79.31,72.68
2015-07-20,82.88,87.24,87.24,80.01
2015-07-21,86.98,91.28,94.86,83.01
2015-07-22,92.16,93.5,94.5,88.88
2015-07-23,91.5,102.85,102.85,91.5
2015-07-24,103.33,100.3,110.0,99.0
2015-07-27,95.1,90.27,104.66,90.27
2015-07-28,82.0,82.99,90.3,81.24
2015-07-29,84.06,87.01,88.1,75.0
2015-07-30,85.47,80.06,87.99,79.9
2015-07-31,76.5,78.85,82.0,75.11
2015-08-03,76.86,71.5,76.86,70.97
2015-08-04,71.3,78.65,78.65,71.3
2015-08-05,78.0,78.72,82.8,77.11
2015-08-06,76.3,78.15,80.38,75.98
2015-08-07,79.07,83.21,84.0,78.51
2015-08-10,85.5,88.6,89.62,83.08
2015-08-11,88.0,91.18,93.29,87.38
2015-08-12,89.5,88.8,91.28,87.28
2015-08-13,87.39,89.8,91.83,86.01
2015-08-14,90.1,90.61,91.5,89.38
2015-08-17,89.8,89.6,90.19,86.48
2015-08-18,89.95,80.64,92.53,80.64
2015-08-19,78.22,84.83,84.88,73.0
2015-08-20,83.02,82.5,85.33,80.27
2015-08-21,80.42,78.88,82.28,78.0
2015-08-24,75.03,70.99,75.99,70.99
2015-08-25,64.3,63.89,67.64,63.89
2015-08-26,62.0,57.58,66.0,57.57
2015-08-27,61.0,59.5,61.88,54.0
2015-08-28,61.1,63.31,63.5,59.03
2015-08-31,62.68,57.89,62.68,57.89
2015-09-01,57.0,52.1,57.68,52.1
2015-09-02,47.7,51.01,55.78,47.58
2015-09-07,52.0,52.8,54.5,52.0
2015-09-08,53.2,58.08,58.08,52.02
2015-09-09,60.7,61.2,62.69,59.62
2015-09-10,59.88,59.18,61.0,59.0
2015-09-11,59.19,63.54,64.45,53.8
2015-09-14,62.68,59.1,66.46,58.5
2015-09-15,55.5,53.52,59.49,53.5
2015-09-16,55.46,58.87,58.87,53.2
2015-09-17,59.0,57.8,62.0,57.66
2015-09-18,58.3,60.16,60.94,57.0
2015-09-21,57.0,66.18,66.18,57.0
2015-09-22,70.0,72.8,72.8,69.42
2015-09-23,72.8,74.12,77.3,71.0
2015-09-24,74.89,70.9,75.9,69.88
2015-09-25,69.5,66.03,71.95,63.9
2015-09-28,66.25,72.63,72.63,66.25
2015-09-29,73.0,74.51,77.44,72.11
2015-09-30,75.01,72.36,75.45,70.05
2015-10-08,75.5,75.35,77.58,74.88
2015-10-09,74.55,75.69,75.84,73.9
2015-10-12,76.3,81.05,83.0,76.3
2015-10-13,81.36,83.02,83.3,79.92
2015-10-14,82.79,80.63,84.98,80.62
2015-10-15,79.5,83.92,84.96,79.07
2015-10-16,85.0,84.1,85.98,82.03
2015-10-19,83.69,81.55,84.78,79.6
2015-10-20,40.95,42.3,42.57,39.99
2015-10-21,42.0,39.57,45.88,39.0
2015-10-22,39.95,43.53,43.53,39.7
2015-10-23,46.97,47.88,47.88,45.85
2015-10-26,50.0,48.01,52.67,47.0
2015-10-27,47.49,49.33,50.4,43.3
2015-10-28,47.7,46.35,50.0,45.88
2015-10-29,46.74,46.58,48.0,44.57
2015-10-30,46.05,45.5,47.14,44.66
2015-11-02,43.52,47.07,48.5,43.52
2015-11-03,46.03,46.16,47.48,45.51
2015-11-04,47.05,48.96,49.2,47.05
2015-11-05,49.81,47.53,49.88,46.88
2015-11-06,47.56,50.7,52.08,47.53
