period,window,threshold,filtered_days_total,observed_days_total,filtered_pct_total,adk_annual_return_pct,adk_annual_vol_pct,adk_sharpe,adk_max_drawdown_pct,combined_annual_return_pct,combined_annual_vol_pct,combined_sharpe,combined_max_drawdown_pct,combined_annual_delta_pct,combined_sharpe_delta,combined_max_drawdown_delta_pct
最长,10,0.1,6687,37220,17.966147232670608,18.940095719765093,19.279825100805734,0.9823790216319731,-32.59225471826072,18.8169630149992,12.370090697699041,1.5211661316678415,-17.350257184443247,-1.586484831771127,-0.11427820450958359,0.0
10年,10,0.1,6687,37220,17.966147232670608,19.80153596170635,19.098839511730098,1.0367926255176223,-22.019755431101245,23.596920664562848,11.445319415167637,2.0617092287779744,-11.971092182297191,-2.2148551441723434,-0.16922474776361485,-0.3124307725733537
5年,10,0.1,6687,37220,17.966147232670608,24.875372437562817,20.106353011444064,1.237189679471177,-21.808939667560505,24.65442215446656,12.216147147460354,2.018183135555307,-11.97109218229719,-1.592011533857928,-0.10154282947459237,-0.31243077257338925
2年,10,0.1,6687,37220,17.966147232670608,15.619566978469823,21.08617695002909,0.7407491180352764,-17.02819123926198,29.627737622603647,13.757209470620896,2.153615359704665,-11.97109218229716,-1.343854797451602,-0.06169524565761764,-0.31243077257331286
最长,10,0.2,9883,37220,26.55292853304675,19.04700766186562,18.682210594766115,1.0195264401527357,-27.97746438903479,18.905325205055146,12.329461143170759,1.5333456170975268,-17.350257184443247,-1.498122641715181,-0.10209871907989831,0.0
10年,10,0.2,9883,37220,26.55292853304675,20.48091792914053,18.54059837165179,1.1046524776921682,-22.16337784097412,23.853386470197613,11.39357919965464,2.0935814858706254,-11.705747831439183,-1.9583893385375788,-0.13735249067096378,-0.047086421715345494
5年,10,0.2,9883,37220,26.55292853304675,24.60679478088852,19.60916578346684,1.2548618871709143,-22.163377840974135,24.500225347358963,12.183939519191917,2.010862357677224,-11.70574783143919,-1.7462083409655236,-0.1088636073526752,-0.0470864217153899
2年,10,0.2,9883,37220,26.55292853304675,18.89720207240282,20.611008403843602,0.9168499523234783,-16.732034203369288,30.218298906560605,13.73817884819517,2.1995854938611807,-11.705747831439185,-0.7532935134946435,-0.015725111501101896,-0.04708642171533839
最长,10,0.25,11278,37220,30.300913487372384,17.714334142818267,18.290888742930694,0.9684785901759277,-25.515121460152056,18.824127994498575,12.298338231198843,1.5306237022124571,-17.350257184443247,-1.5793198522717518,-0.10482063396496799,0.0
10年,10,0.25,11278,37220,30.300913487372384,19.097899158344678,18.15034784455035,1.0522056834342617,-22.272878171724862,23.726934348245663,11.361158575524529,2.088425594143265,-11.26963885021744,-2.0848414604895282,-0.14250838239832442,0.3890225595063974
5年,10,0.25,11278,37220,30.300913487372384,22.884749760725185,19.250721045645648,1.1887736415931043,-22.272878171724813,24.48263369390171,12.158915198345568,2.0135541119024336,-11.26963885021746,-1.7637999944227758,-0.1061718531274658,0.38902255950634057
2年,10,0.25,11278,37220,30.300913487372384,17.106590783485267,20.32068550859287,0.8418313829152819,-15.952446615707588,29.91821851211489,13.700733330815751,2.1836946818622254,-11.26963885021744,-1.0533739079403581,-0.031615923500057264,0.3890225595064063
最长,10,0.3,12722,37220,34.18054809242343,14.400748443151755,17.912368079016463,0.8039555897704886,-28.38589032692974,18.194955320262494,12.268216329993985,1.4830970396061982,-17.350257184443247,-2.2084925265078326,-0.15234729657122692,0.0
10年,10,0.3,12722,37220,34.18054809242343,15.185433556357196,17.741170721758497,0.8559431502303939,-22.541713929056314,22.803462543555163,11.308677660873432,2.0164570277259037,-10.906932900478882,-3.0083132651800284,-0.21447694881568546,0.7517285092449555
5年,10,0.3,12722,37220,34.18054809242343,20.30751326387481,18.93382470955777,1.0725520899970944,-22.541713929056403,23.699988894453394,12.126439145566872,1.9544062861287295,-10.906932900478909,-2.5464447938710926,-0.16531967890116994,0.7517285092448915
2年,10,0.3,12722,37220,34.18054809242343,18.315040659709926,20.215014829334216,0.906011735056102,-16.395029526256895,30.11701309687893,13.686510796262397,2.200488754599418,-10.9069329004789,-0.854579323176317,-0.014821850762864575,0.7517285092449466
最长,10,0.35,14110,37220,37.90972595378829,13.62096280002869,17.65893014317009,0.7713356749019614,-28.29473831611163,18.179191851693275,12.256950821483196,1.4831740876229964,-17.350257184443247,-2.2242559950770513,-0.15227024855442872,0.0
10年,10,0.35,14110,37220,37.90972595378829,14.280843506736108,17.463599810530255,0.8177491274236026,-21.632443643937055,22.78995563414523,11.29235732693265,2.018175211281211,-10.782150551438713,-3.021820174589962,-0.21275876526037818,0.8765108582851244
5年,10,0.35,14110,37220,37.90972595378829,18.055191349512878,18.706862050416188,0.9651640826159398,-21.632443643937,23.535832839175352,12.11204485933657,1.943175831373573,-10.782150551438656,-2.7106008491491345,-0.17655013365632644,0.876510858285144
