low_ratio,high_ratio,dte,vol_level_cap,slope_filter,annual,vol,sharpe,max_dd,total,active_days,long_days,short_days,trades
0.92,1.05,21,30.0,False,0.0271466018084332,0.05232024032634384,0.518854684900302,-0.12345298898627528,0.5013135508714712,1990,479,1511,976
0.92,1.05,21,30.0,True,0.022512720038838863,0.043840410162148506,0.5135152694870584,-0.10632423293619483,0.4017824263215848,1303,328,975,1082
0.92,1.05,21,None,False,0.02649187127920105,0.05240355697897595,0.5055357461675638,-0.13015018211589502,0.4868609853748769,1995,479,1516,982
0.92,1.05,21,None,True,0.021963985754632764,0.04393454513569045,0.49992518840920486,-0.11315229706976095,0.3904132983785551,1307,328,979,1088
0.92,1.05,21,25.0,True,0.021291614509565626,0.04350235835276811,0.48943586775016334,-0.11603274349693038,0.37659998567977815,1280,328,952,1054
0.92,1.05,21,25.0,False,0.025176591995016873,0.051651285133065265,0.4874339898834335,-0.13297542008158075,0.45821933330299247,1944,479,1465,956
0.9,1.05,21,None,True,0.019083608354523385,0.043168017696721885,0.4420774770941721,-0.1216976763442016,0.3321346462963166,1116,328,788,1000
0.9,1.05,21,30.0,True,0.019001713122910324,0.04316702767038512,0.4401904450777488,-0.1216976763442016,0.3305115158840968,1115,328,787,998
0.9,1.05,21,25.0,True,0.018473441524038403,0.042863635637799845,0.4309816759394848,-0.1310658477755733,0.32008569630456263,1097,328,769,976
0.9,1.05,21,None,False,0.017308484976098493,0.051477699547915555,0.336232681881748,-0.15733834753183362,0.2973635352433017,1678,479,1199,962
0.9,1.05,21,30.0,False,0.017226732396313782,0.051476860969260844,0.3346500169581172,-0.15733834753183362,0.29578277145518306,1677,479,1198,960
0.9,1.05,21,25.0,False,0.016411755451799293,0.05085991301332094,0.3226854801639322,-0.16632636749528695,0.28012247842106786,1641,479,1162,942
0.92,1.05,30,30.0,True,0.008302268864262663,0.049825061445348734,0.1666283718158404,-0.19078031455929148,0.13363663655058367,1303,328,975,1082
0.92,1.05,30,None,True,0.007541536415377914,0.04994089767186769,0.15100922824673518,-0.19865975988650506,0.12073042656932209,1307,328,979,1088
0.92,1.05,30,25.0,True,0.007287302828143716,0.049417283155832,0.14746465938169856,-0.20098595944072206,0.11644791443623315,1280,328,952,1054
0.9,1.05,30,None,True,0.006443282291862751,0.049072302257135346,0.13130181376248487,-0.1911742682613963,0.10233991762642525,1116,328,788,1000
0.9,1.05,30,30.0,True,0.006386292553625772,0.04907184090692531,0.1301416950250281,-0.1911742682613963,0.10139334832545743,1115,328,787,998
0.92,1.05,30,30.0,False,0.007490455211417224,0.05957714944683704,0.1257269822568675,-0.22194549479407916,0.11986874443994244,1990,479,1511,976
0.9,1.05,30,25.0,True,0.006106439450274559,0.048705846983753194,0.12537384787316158,-0.2012157133289327,0.09675614490749829,1097,328,769,976
0.92,1.05,30,None,False,0.0066499599236653495,0.059677306733855205,0.11143197117327008,-0.22952148194029565,0.10577910210253205,1995,479,1516,982
