date,open,close,high,low,volume,symbol,name,call_volume,put_volume,total_volume,oi_total,oi_call,oi_put,pcr_raw,put5,call5,pcr5,q70,q30,signal_long_only,signal_long_short,oo_ret,strat_ret_long_only,strat_ret_long_short,buy_hold_ret
2019-12-23,3.524,3.473,3.541,3.471,4471448,510300,沪深300ETF华泰柏瑞,275182.0,193530.0,468712.0,180700.0,107629.0,73071.0,0.7033,,,,,,0.0,0.0,-0.014188422247445986,,,-0.014188422247445986
2019-12-24,3.474,3.494,3.502,3.473,3127921,510300,沪深300ETF华泰柏瑞,186105.0,141566.0,327671.0,280717.0,161726.0,118991.0,0.7606999999999999,,,,,,0.0,0.0,0.005757052389176787,0.0,0.0,0.005757052389176787
2019-12-25,3.494,3.501,3.506,3.482,3105784,510300,沪深300ETF华泰柏瑞,275320.0,229629.0,504949.0,402929.0,227329.0,175600.0,0.8340000000000001,,,,,,0.0,0.0,0.0011448196908987462,0.0,0.0,0.0011448196908987462
2019-12-26,3.498,3.53,3.535,3.496,3322559,510300,沪深300ETF华泰柏瑞,329510.0,283556.0,613066.0,508810.0,280215.0,228595.0,0.8604999999999999,,,,,,0.0,0.0,0.010291595197255532,0.0,0.0,0.010291595197255532
2019-12-27,3.534,3.526,3.577,3.525,4368130,510300,沪深300ETF华泰柏瑞,553764.0,436734.0,990498.0,610506.0,327580.0,282926.0,0.7887000000000001,1285015.0,1619881.0,0.7932774074144953,,,0.0,0.0,-0.00537634408602139,-0.0,-0.0,-0.00537634408602139
2019-12-30,3.515,3.584,3.597,3.509,5423815,510300,沪深300ETF华泰柏瑞,586894.0,416133.0,1003027.0,677970.0,355864.0,322106.0,0.7090000000000001,1507618.0,1931593.0,0.7805050028655105,,,0.0,0.0,0.01792318634423884,0.0,0.0,0.01792318634423884
2019-12-31,3.578,3.605,3.608,3.571,3521859,510300,沪深300ETF华泰柏瑞,553301.0,321510.0,874811.0,771357.0,404268.0,367089.0,0.5811,1687562.0,2298789.0,0.7341091331131304,,,0.0,0.0,0.014253773057574026,0.0,0.0,0.014253773057574026
2020-01-02,3.629,3.658,3.683,3.627,6276236,510300,沪深300ETF华泰柏瑞,940706.0,551573.0,1492279.0,869256.0,459561.0,409695.0,0.5863,2009506.0,2964175.0,0.6779309588671384,,,0.0,0.0,0.009920088178561492,0.0,0.0,0.009920088178561492
2020-01-03,3.665,3.648,3.671,3.642,4696738,510300,沪深300ETF华泰柏瑞,531635.0,322534.0,854169.0,957093.0,500582.0,456511.0,0.6067,2048484.0,3166300.0,0.646964595900578,,,0.0,0.0,-0.008185538881309795,-0.0,-0.0,-0.008185538881309795
2020-01-06,3.635,3.632,3.68,3.603,6665048,510300,沪深300ETF华泰柏瑞,809849.0,503226.0,1313075.0,1052332.0,571229.0,481103.0,0.6214,2114976.0,3422385.0,0.6179830732077192,,,0.0,0.0,0.0022008253094909502,0.0,0.0,0.0022008253094909502
2020-01-07,3.643,3.664,3.669,3.637,4649595,510300,沪深300ETF华泰柏瑞,709704.0,410570.0,1120274.0,1145618.0,620525.0,525093.0,0.5785,2109413.0,3545195.0,0.5950061985306873,,,0.0,0.0,0.00027449903925336194,0.0,0.0,0.00027449903925336194
2020-01-08,3.644,3.623,3.658,3.606,5628521,510300,沪深300ETF华泰柏瑞,713167.0,530639.0,1243806.0,1231752.0,693172.0,538580.0,0.7441,2318542.0,3705061.0,0.6257770114985961,,,0.0,0.0,0.0008232711306255247,0.0,0.0,0.0008232711306255247
2020-01-09,3.647,3.667,3.674,3.643,3944317,510300,沪深300ETF华泰柏瑞,659457.0,439720.0,1099177.0,1266974.0,701716.0,565258.0,0.6668000000000001,2206689.0,3423812.0,0.6445123155126508,,,0.0,0.0,0.007403345215245549,0.0,0.0,0.007403345215245549
2020-01-10,3.674,3.666,3.685,3.653,3795550,510300,沪深300ETF华泰柏瑞,560440.0,368140.0,928580.0,1292620.0,709397.0,583223.0,0.6568999999999999,2252295.0,3452617.0,0.6523442941977057,,,0.0,0.0,-0.0024496461622209864,-0.0,-0.0,-0.0024496461622209864
2020-01-13,3.665,3.711,3.714,3.65,3736392,510300,沪深300ETF华泰柏瑞,705374.0,513888.0,1219262.0,1295156.0,688550.0,606606.0,0.7284999999999999,2262957.0,3348142.0,0.6758844158939495,,,0.0,0.0,0.012551159618008123,0.0,0.0,0.012551159618008123
2020-01-14,3.711,3.693,3.731,3.689,4099628,510300,沪深300ETF华泰柏瑞,763484.0,500938.0,1264422.0,1344252.0,707547.0,636705.0,0.6561,2353325.0,3401922.0,0.6917633620053605,,,0.0,0.0,-0.004850444624090455,-0.0,-0.0,-0.004850444624090455
2020-01-15,3.693,3.661,3.699,3.654,3196074,510300,沪深300ETF华泰柏瑞,697756.0,517880.0,1215636.0,1377405.0,750645.0,626760.0,0.7422,2340566.0,3386511.0,0.6911437759983653,,,0.0,0.0,-0.006769564040075782,-0.0,-0.0,-0.006769564040075782
2020-01-16,3.668,3.655,3.672,3.644,4162978,510300,沪深300ETF华泰柏瑞,650732.0,432253.0,1082985.0,1385920.0,753321.0,632599.0,0.6643000000000001,2333099.0,3377786.0,0.6907184173301684,,,0.0,0.0,-0.001908396946564972,-0.0,-0.0,-0.001908396946564972
2020-01-17,3.661,3.66,3.684,3.646,3216274,510300,沪深300ETF华泰柏瑞,653170.0,425332.0,1078502.0,1370067.0,749828.0,620239.0,0.6512,2390291.0,3470516.0,0.6887422504319243,,,0.0,0.0,0.0010925976509150725,0.0,0.0,0.0010925976509150725
2020-01-20,3.665,3.69,3.692,3.651,3534883,510300,沪深300ETF华泰柏瑞,580464.0,462687.0,1043151.0,1371964.0,741998.0,629966.0,0.7970999999999999,2339090.0,3345606.0,0.6991528590037202,,,0.0,0.0,0.0019099590723057336,0.0,0.0,0.0019099590723057336
2020-01-21,3.672,3.614,3.672,3.609,6182946,510300,沪深300ETF华泰柏瑞,800156.0,664348.0,1464504.0,1408847.0,810407.0,598440.0,0.8303,2502500.0,3382278.0,0.7398859585167157,,,0.0,0.0,-0.02015250544662317,-0.0,-0.0,-0.02015250544662317
2020-01-22,3.598,3.628,3.642,3.543,9073933,510300,沪深300ETF华泰柏瑞,994402.0,833048.0,1827450.0,1137077.0,650547.0,486530.0,0.8377,2817668.0,3678924.0,0.7658945930929805,,,0.0,0.0,-0.0022234574763757564,-0.0,-0.0,-0.0022234574763757564
