pair,lb_a,lb_b,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_win_rate,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_win_rate,full_common_annual,full_common_vol,full_common_sharpe,full_common_max_dd,full_common_calmar,full_common_total_return,full_common_win_rate,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,avg_prev_weight,avg_next_weight,last_3y_annual_delta_vs_16,last_3y_sharpe_delta_vs_16,last_3y_maxdd_delta_vs_16,last_5y_annual_delta_vs_16,last_5y_sharpe_delta_vs_16,last_5y_maxdd_delta_vs_16,full_common_annual_delta_vs_16,full_common_sharpe_delta_vs_16,full_common_maxdd_delta_vs_16
13/16,13,16,0.33357287659428536,0.15055482654355132,2.2156239308461627,-0.12742309112522066,2.6178369528524317,1.3683794077356253,0.6486486486486487,0.3798763502161493,0.15976018157655367,2.3777911771721456,-0.1274230911252206,2.9812206473851672,4.001556062418405,0.6557377049180327,0.3436948434761542,0.11470016784838324,2.9964633001275836,-0.12742309112522102,2.697272844671449,116.02164590122445,0.6391752577319587,0.561,0.187439999999994,0.748439999999994,0.7624648427512145,0.7627205318332907,0.02446623713611129,0.1463490786856272,-0.02135932279453455,0.021492747352618746,0.13061746552989772,-0.019660211991055054,0.021709042761786312,0.1935769691885989,-0.014500617433459442
14/16,14,16,0.3242630542883669,0.15140262111637065,2.141726820166031,-0.13065303408590576,2.4818639425944022,1.3192009518414305,0.6756756756756757,0.37917419634061833,0.15984178809672575,2.3721844009350486,-0.1306530340859064,2.9021461230766783,3.9888454666415134,0.6557377049180327,0.33700416416340184,0.1147889572127199,2.9358587476222673,-0.13065303408590698,2.5793826107537225,106.97390192917278,0.634020618556701,0.543,0.1858199999999941,0.728819999999994,0.7593965737663002,0.7596522628483764,0.01515641483019281,0.07245196800549536,-0.02458926575521965,0.020790593477087782,0.12501068929280068,-0.02289015495174085,0.015018363449033956,0.13297241668328263,-0.017730560394145403
12/16,12,16,0.305424412403573,0.14896332094094167,2.050332997910689,-0.10108741514601888,3.021389081542872,1.2217776619699792,0.6756756756756757,0.3705503918093356,0.15875916624333353,2.3340409286439887,-0.10108741514601877,3.6656431591814163,3.834831479021563,0.6721311475409836,0.3420880911721389,0.11427148955588762,2.9936434057318495,-0.10108741514601857,3.3840818926668574,113.7861686299378,0.6494845360824743,0.5970000000000001,0.18749999999999412,0.7844999999999941,0.7655331117361288,0.7657888008182051,-0.003682227054601084,-0.018941854249846735,0.004976353184667229,0.01216678894580503,0.08686721700174083,0.006675463988146779,0.02010229045777101,0.19075707479286486,0.011835058545743002
16/17,16,17,0.2995409742740782,0.15041758611315859,1.9913959664844951,-0.10895927554633536,2.749109451876791,1.1919201892544007,0.6756756756756757,0.36518433812854,0.15987472456426227,2.284190569358903,-0.1089592755463355,3.351567237368823,3.74093447456021,0.6885245901639344,0.3259560836901503,0.11503769515451281,2.8334719611023376,-0.12114041258191445,2.690729515798377,93.38246242513833,0.634020618556701,0.537,0.185609999999994,0.722609999999994,0.767007672634271,0.7672634271099744,-0.00956566518409585,-0.0778788856760404,-0.002895507215649254,0.006800735265009461,0.03701685771665497,-0.0011963964121699533,0.003970282975782391,0.030585630163352917,-0.008217938890152876
15/16,15,16,0.3068767332664011,0.152348743937281,2.014304321358476,-0.1441818942655137,2.1283999272563427,1.2291894067646831,0.6756756756756757,0.36159030242315726,0.16069368862428243,2.250183597867311,-0.14418189426551375,2.507875931753828,3.6788648233234555,0.6557377049180327,0.33200604199966643,0.11528477557318434,2.8798775931077256,-0.14418189426551367,2.30268886180862,100.64775933806872,0.6494845360824743,0.549,0.1863899999999939,0.7353899999999938,0.761697775504986,0.7619534645870621,-0.00222990619177299,-0.0549705308020596,-0.03811812593482759,0.0032066995596267134,0.003009886225063152,-0.03641901513134821,0.010020241285298548,0.07699126216874097,-0.0312594205737521
10/16,10,16,0.2954750831103088,0.14925266904711645,1.9796971471045015,-0.10010817085980275,2.9515581053229822,1.1714434231382436,0.6756756756756757,0.3565032410276987,0.15891363168998998,2.2433773442618703,-0.10010817085980252,3.5611802509803843,3.5921233113345457,0.6721311475409836,0.3349868442692818,0.11485428050094346,2.9166248119636267,-0.10010817085980268,3.3462487766200115,104.37738438711216,0.654639175257732,0.681,0.187949999999994,0.8689499999999941,0.7596522628483764,0.7599079519304526,-0.013631556347865281,-0.08957770505603402,0.005955597470883353,-0.0018803618358318452,-0.0037963673803775855,0.0076547082743630285,0.013001043554913938,0.11373848102464201,0.01281430283195889
11/16,11,16,0.2826156016424626,0.1480189105352469,1.9093209146081704,-0.10579954095402758,2.6712365582499626,1.107519680117333,0.6756756756756757,0.3526228746735198,0.15803134161639723,2.2313477255003695,-0.10579954095402737,3.3329338813175338,3.5268265325512074,0.6557377049180327,0.3383207956590726,0.11410150696716048,2.965086129462292,-0.10579954095402744,3.1977529638439686,108.70078979079607,0.6391752577319587,0.621,0.18629999999999403,0.807299999999994,0.7593965737663002,0.7596522628483764,-0.026491037815711493,-0.1599539375523651,0.0002642273766585296,-0.005760728190010722,-0.015825986141878357,0.001963338180138177,0.016334994944704695,0.16219979852330724,0.007122932737734136
9/16,9,16,0.2660303674082982,0.15251404452881626,1.7443007837749265,-0.11273719270564421,2.3597391510617185,1.0269429931607492,0.7297297297297297,0.35090138097895607,0.1610398748898444,2.1789720168311235,-0.11273719270564429,3.112560926500593,3.4980970476561817,0.7049180327868853,0.3303101705725824,0.11579514241763329,2.852539093403997,-0.11273719270564413,2.929913036197553,98.58149078461527,0.6649484536082474,0.711,0.1879499999999939,0.8989499999999939,0.7593965737663002,0.7596522628483764,-0.04307627204987585,-0.32497406838560905,-0.0066734243749581035,-0.00748222188457448,-0.06820169481112437,-0.004974313571478747,0.008324369858214498,0.04965276246501249,0.0001852809861174476
16/23,16,23,0.2706252211603779,0.16025927665481168,1.6886711759175568,-0.21666834199812013,1.2490298244065852,1.0490570119657336,0.7027027027027027,0.36122066506087025,0.1666022286292906,2.1681622630909,-0.21666834199811918,1.6671594093058868,3.672518171113495,0.6885245901639344,0.32270304827746754,0.11830839874083011,2.7276427684934728,-0.21666834199811935,1.4893871679706145,89.16474810345558,0.6649484536082474,0.465,0.18962999999999391,0.6546299999999938,0.7789446721311475,0.7792008196721312,-0.038481418297796166,-0.38060367624297875,-0.11060457366743402,0.0028370621973397014,-0.079011448551348,-0.10890546286395364,0.0007172475630996544,-0.07524356244551189,-0.10374586830635778
6/16,6,16,0.2655643141203097,0.15126831819483066,1.7555844957452886,-0.10688893337814737,2.4844883911490343,1.0247089035693455,0.6486486486486487,0.34763576014706365,0.16036090109777953,2.167833666231982,-0.10688893337814749,3.252308252690776,3.4439989308794097,0.6721311475409836,0.3214597199265985,0.11525139861129341,2.78920450250483,-0.10796084486163397,2.9775583947920325,88.42226989826061,0.6443298969072165,0.8310000000000001,0.1853399999999941,1.016339999999994,0.7593965737663002,0.7596522628483764,-0.043542325337864396,-0.3136903564152469,-0.0008251650474612598,-0.010747842716466893,-0.07934004541026596,0.0008739457560180547,-0.0005260807877693896,-0.013681828434154664,0.004961628830127601
