rebalance_date,entry_count,exit_count,turnover_frac_one_side,two_side_cost_rate
2010-01-12,4,4,0.08,0.00048
2010-01-26,4,4,0.08,0.00048
2010-02-09,5,5,0.1,0.0006000000000000001
2010-02-23,4,4,0.08,0.00048
2010-03-09,8,8,0.16,0.00096
2010-03-23,6,6,0.12,0.0007199999999999999
2010-04-06,3,3,0.06,0.00035999999999999997
2010-04-20,6,6,0.12,0.0007199999999999999
2010-05-04,8,8,0.16,0.00096
2010-05-18,6,6,0.12,0.0007199999999999999
2010-06-01,6,6,0.12,0.0007199999999999999
2010-06-17,7,7,0.14,0.0008400000000000001
2010-06-29,8,8,0.16,0.00096
2010-07-13,7,7,0.14,0.0008400000000000001
2010-07-27,4,4,0.08,0.00048
2010-08-10,3,3,0.06,0.00035999999999999997
2010-08-24,5,5,0.1,0.0006000000000000001
2010-09-07,4,4,0.08,0.00048
2010-09-21,7,7,0.14,0.0008400000000000001
2010-10-08,4,4,0.08,0.00048
2010-10-19,7,7,0.14,0.0008400000000000001
2010-11-02,6,6,0.12,0.0007199999999999999
2010-11-16,6,6,0.12,0.0007199999999999999
2010-11-30,2,2,0.04,0.00024
2010-12-14,5,5,0.1,0.0006000000000000001
2010-12-28,6,6,0.12,0.0007199999999999999
2011-01-11,4,4,0.08,0.00048
2011-01-25,8,8,0.16,0.00096
2011-02-09,1,1,0.02,0.00012
2011-02-22,3,3,0.06,0.00035999999999999997
2011-03-08,4,4,0.08,0.00048
2011-03-22,4,4,0.08,0.00048
2011-04-06,6,6,0.12,0.0007199999999999999
2011-04-19,7,7,0.14,0.0008400000000000001
2011-05-03,7,7,0.14,0.0008400000000000001
2011-05-17,3,3,0.06,0.00035999999999999997
2011-05-31,5,5,0.1,0.0006000000000000001
2011-06-14,7,7,0.14,0.0008400000000000001
2011-06-28,3,3,0.06,0.00035999999999999997
2011-07-12,4,4,0.08,0.00048
2011-07-26,4,4,0.08,0.00048
2011-08-09,3,3,0.06,0.00035999999999999997
2011-08-23,5,5,0.1,0.0006000000000000001
2011-09-06,3,3,0.06,0.00035999999999999997
2011-09-20,5,5,0.1,0.0006000000000000001
2011-10-10,3,3,0.06,0.00035999999999999997
2011-10-18,3,3,0.06,0.00035999999999999997
2011-11-01,2,2,0.04,0.00024
2011-11-15,2,2,0.04,0.00024
2011-11-29,3,3,0.06,0.00035999999999999997
2011-12-13,6,6,0.12,0.0007199999999999999
2011-12-27,7,7,0.14,0.0008400000000000001
2012-01-10,7,7,0.14,0.0008400000000000001
2012-01-30,3,3,0.06,0.00035999999999999997
2012-02-07,3,3,0.06,0.00035999999999999997
2012-02-21,3,3,0.06,0.00035999999999999997
2012-03-06,3,3,0.06,0.00035999999999999997
2012-03-20,5,5,0.1,0.0006000000000000001
2012-04-05,9,9,0.18,0.00108
2012-04-17,6,6,0.12,0.0007199999999999999
2012-05-02,9,9,0.18,0.00108
2012-05-15,5,5,0.1,0.0006000000000000001
2012-05-29,6,6,0.12,0.0007199999999999999
2012-06-12,8,8,0.16,0.00096
2012-06-26,8,8,0.16,0.00096
2012-07-10,7,7,0.14,0.0008400000000000001
2012-07-24,10,10,0.2,0.0012000000000000001
2012-08-07,11,11,0.22,0.00132
2012-08-21,7,7,0.14,0.0008400000000000001
2012-09-04,10,10,0.2,0.0012000000000000001
2012-09-18,6,6,0.12,0.0007199999999999999
2012-10-08,9,9,0.18,0.00108
2012-10-16,4,4,0.08,0.00048
2012-10-30,4,4,0.08,0.00048
2012-11-13,5,5,0.1,0.0006000000000000001
2012-11-27,7,7,0.14,0.0008400000000000001
2012-12-11,4,4,0.08,0.00048
2012-12-25,6,6,0.12,0.0007199999999999999
2013-01-08,5,5,0.1,0.0006000000000000001
2013-01-22,4,4,0.08,0.00048
2013-02-05,4,4,0.08,0.00048
2013-02-19,2,2,0.04,0.00024
2013-03-05,7,7,0.14,0.0008400000000000001
2013-03-19,6,6,0.12,0.0007199999999999999
2013-04-02,7,7,0.14,0.0008400000000000001
2013-04-16,3,3,0.06,0.00035999999999999997
2013-05-02,7,7,0.14,0.0008400000000000001
2013-05-14,1,1,0.02,0.00012
2013-05-28,3,3,0.06,0.00035999999999999997
2013-06-13,5,5,0.1,0.0006000000000000001
2013-06-25,9,9,0.18,0.00108
2013-07-09,10,10,0.2,0.0012000000000000001
2013-07-23,10,10,0.2,0.0012000000000000001
2013-08-06,9,9,0.18,0.00108
2013-08-20,6,6,0.12,0.0007199999999999999
2013-09-03,8,8,0.16,0.00096
2013-09-17,5,5,0.1,0.0006000000000000001
2013-10-08,4,4,0.08,0.00048
2013-10-22,6,6,0.12,0.0007199999999999999
2013-11-05,8,8,0.16,0.00096
2013-11-19,10,10,0.2,0.0012000000000000001
2013-12-03,7,7,0.14,0.0008400000000000001
2013-12-17,10,10,0.2,0.0012000000000000001
2013-12-31,10,10,0.2,0.0012000000000000001
2014-01-14,8,8,0.16,0.00096
2014-01-28,8,8,0.16,0.00096
2014-02-11,4,4,0.08,0.00048
2014-02-25,5,5,0.1,0.0006000000000000001
2014-03-11,8,8,0.16,0.00096
2014-03-25,8,8,0.16,0.00096
2014-04-08,4,4,0.08,0.00048
2014-04-22,7,7,0.14,0.0008400000000000001
2014-05-06,8,8,0.16,0.00096
