lookback,gross_rank,net_rank,gross_annual,gross_max_dd,gross_sharpe,net_annual,net_max_dd,net_sharpe,entry_days,exit_days,rebalance_cost_days,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,active_days_pct,signal_changes,peak_date,trough_date,recovery_date
18,1,1,1.4673152825026965,-0.0977749360776988,7.7844343898429464,1.3471690071075888,-0.13742683733481031,7.14850347681676,81,81,318,0.4860000000000001,0.31835999999999237,0.8043599999999924,0.7938697318007663,162,2020-09-17,2021-02-09,2021-03-05
17,2,2,1.4289710429329538,-0.10454862461851987,7.572460564866811,1.2958878448498274,-0.1413973574134038,6.857029435586856,99,98,317,0.591,0.31703999999999266,0.9080399999999926,0.7872829417773238,196,2020-09-17,2021-02-10,2021-03-08
15,3,3,1.4191142061656472,-0.1351254285558318,7.522884750196434,1.2812913835659763,-0.18056024749287464,6.7835362003227,105,105,314,0.63,0.3155999999999925,0.9455999999999924,0.77947932618683,210,2020-04-13,2021-02-10,2021-04-16
20,13,4,1.396798568958094,-0.19930239901101032,7.344373828954263,1.278598961620994,-0.2223633527080075,6.717851393622384,82,82,322,0.49200000000000005,0.3223199999999925,0.8143199999999926,0.7968310759008433,163,2024-01-09,2024-07-10,2024-11-25
16,11,5,1.4023229072127776,-0.11229958552707328,7.444037264498093,1.266395874998933,-0.14256357154639443,6.71455905676244,104,104,313,0.624,0.3147599999999927,0.9387599999999927,0.7809548123563952,207,2020-09-17,2021-02-10,2021-03-09
19,14,6,1.3954479748864386,-0.1685660551710644,7.33013873700698,1.2744161847091857,-0.19288162977540915,6.688659962242541,86,86,317,0.516,0.3189599999999927,0.8349599999999926,0.7925396014307614,171,2024-01-09,2024-05-31,2024-10-28
14,6,7,1.405442485522701,-0.1330266327158577,7.4641298374444585,1.261153651444316,-0.1658332628413294,6.681933299222574,114,114,313,0.684,0.3133199999999926,0.9973199999999927,0.7736667517223782,228,2020-09-17,2021-02-02,2021-03-24
13,4,8,1.4138049309239835,-0.12089202352696916,7.519779850532257,1.2538056936441482,-0.16071718713807337,6.643085898382224,133,132,308,0.7949999999999999,0.3112799999999927,1.1062799999999928,0.7719387755102041,264,2020-09-17,2021-02-10,2021-03-09
11,5,9,1.4095248001883887,-0.10767993054404175,7.519460425709936,1.2311613561796562,-0.13409101899275727,6.542693819474247,156,155,303,0.933,0.30791999999999276,1.2409199999999927,0.7623661397246303,310,2025-11-18,2026-01-29,
12,10,10,1.4015037380084934,-0.12978948751418337,7.448381041759737,1.2306477176876758,-0.1687105299484005,6.518516050307198,148,147,302,0.885,0.305639999999993,1.190639999999993,0.7635807192042846,294,2020-09-17,2021-02-10,2021-03-09
10,7,11,1.400768902254352,-0.12278873270209825,7.459743760737046,1.218374219124449,-0.13323320418169102,6.462536958082874,163,162,291,0.9750000000000001,0.3001199999999933,1.2751199999999931,0.7517206219729798,324,2021-06-16,2021-12-08,2022-01-11
9,8,12,1.3975707803971158,-0.11664491528035117,7.455413464417378,1.2063242002510828,-0.1354367311381092,6.405012851284034,174,173,291,1.0410000000000001,0.3007199999999932,1.3417199999999934,0.75,347,2022-04-25,2022-07-15,2022-08-30
8,9,13,1.3960476669659396,-0.09693358216491885,7.450198773607092,1.1945999084511638,-0.14045473259613311,6.340666866190271,188,187,285,1.125,0.2931599999999936,1.4181599999999936,0.7436942675159236,375,2020-10-26,2021-01-25,2021-03-09
7,15,14,1.3672181092324092,-0.11897717133013258,7.325297045743951,1.1474129832897173,-0.16933960167459056,6.114147680383563,214,213,284,1.2810000000000001,0.2929199999999933,1.5739199999999933,0.7361181864493123,427,2024-01-09,2024-07-10,2024-10-25
6,17,15,1.35050045977651,-0.1286336578426692,7.227321847142078,1.1102798451928773,-0.16824717149114307,5.898532218759684,243,242,275,1.455,0.2864399999999937,1.7414399999999939,0.7229437229437229,484,2010-03-25,2012-04-24,2013-10-31
5,16,16,1.3573314694200533,-0.1414963243151507,7.283681783735817,1.0918633759294614,-0.18736598831811044,5.808166884593286,275,275,272,1.6500000000000004,0.2801999999999934,1.9301999999999935,0.7092668024439919,551,2020-09-17,2021-02-09,2022-01-06
4,20,17,1.3233147666773584,-0.13445200754027659,7.117176172428271,1.0285275095795723,-0.20915072639235263,5.488491409062477,322,322,250,1.9320000000000002,0.2603999999999943,2.192399999999994,0.693815220157801,645,2022-04-13,2023-04-20,2024-01-08
3,18,18,1.3337353932885914,-0.14021546192834541,7.211253867319903,0.9998779128851154,-0.24091438253597988,5.345283101389475,376,375,228,2.253,0.242759999999995,2.4957599999999953,0.678117048346056,750,2018-11-15,2023-04-19,2024-02-23
2,19,19,1.306714368057475,-0.14754985116354763,7.170759433638177,0.8886489889626148,-0.33698009791920297,4.804029800275007,503,503,201,3.018,0.2150399999999956,3.2330399999999955,0.6553039938946833,1006,2024-02-27,2026-03-18,
1,12,20,1.3404051495046874,-0.13990282249092822,7.356180340635358,0.7424751707445616,-0.5771065422340973,3.9830948463435996,765,765,162,4.59,0.18059999999999599,4.7705999999999955,0.6350457782299085,1531,2018-05-25,2026-01-19,
