rebalance_date,entry_count,exit_count,turnover_frac_one_side,two_side_cost_rate,effective_date,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,holding_count_after
2010-01-14,7,7,0.07,0.00042,,,,,,
2010-01-28,11,11,0.11,0.00066,,,,,,
2010-02-11,8,8,0.08,0.00048,,,,,,
2010-02-25,3,3,0.03,0.0001799999999999,,,,,,
2010-03-11,6,6,0.06,0.0003599999999999,,,,,,
2010-03-25,7,7,0.07,0.00042,,,,,,
2010-04-08,6,6,0.06,0.0003599999999999,,,,,,
2010-04-22,11,11,0.11,0.00066,,,,,,
2010-05-06,10,10,0.1,0.0006,,,,,,
2010-05-20,12,12,0.12,0.0007199999999999,,,,,,
2010-06-03,5,5,0.05,0.0003,,,,,,
2010-06-17,5,5,0.05,0.0003,,,,,,
2010-07-01,10,10,0.1,0.0006,,,,,,
2010-07-15,7,7,0.07,0.00042,,,,,,
2010-07-29,6,6,0.06,0.0003599999999999,,,,,,
2010-08-12,6,6,0.06,0.0003599999999999,,,,,,
2010-08-26,5,5,0.05,0.0003,,,,,,
2010-09-09,8,8,0.08,0.00048,,,,,,
2010-09-27,6,6,0.06,0.0003599999999999,,,,,,
2010-10-08,5,5,0.05,0.0003,,,,,,
2010-10-21,6,6,0.06,0.0003599999999999,,,,,,
2010-11-04,8,8,0.08,0.00048,,,,,,
2010-11-18,14,14,0.14,0.00084,,,,,,
2010-12-02,9,9,0.09,0.00054,,,,,,
2010-12-16,5,5,0.05,0.0003,,,,,,
2010-12-30,8,8,0.08,0.00048,,,,,,
2011-01-13,8,8,0.08,0.00048,,,,,,
2011-01-27,10,10,0.1,0.0006,,,,,,
2011-02-10,6,6,0.06,0.0003599999999999,,,,,,
2011-02-24,9,9,0.09,0.00054,,,,,,
2011-03-10,8,8,0.08,0.00048,,,,,,
2011-03-24,11,11,0.11,0.00066,,,,,,
2011-04-07,14,14,0.14,0.00084,,,,,,
2011-04-21,11,11,0.11,0.00066,,,,,,
2011-05-05,12,12,0.12,0.0007199999999999,,,,,,
2011-05-19,9,9,0.09,0.00054,,,,,,
2011-06-02,13,13,0.13,0.00078,,,,,,
2011-06-16,12,12,0.12,0.0007199999999999,,,,,,
2011-06-30,9,9,0.09,0.00054,,,,,,
2011-07-14,9,9,0.09,0.00054,,,,,,
2011-07-28,8,8,0.08,0.00048,,,,,,
2011-08-11,11,11,0.11,0.00066,,,,,,
2011-08-25,9,9,0.09,0.00054,,,,,,
