as_of_date,rank,symbol
2026-09-17,1,688701
2026-09-17,2,688217
2026-09-17,3,301167
2026-09-17,4,300621
2026-09-17,5,688659
2026-09-17,6,688021
2026-09-17,7,600455
2026-09-17,8,688573
2026-09-17,9,688793
2026-09-17,10,001336
2026-09-17,11,300417
2026-09-17,12,688067
2026-09-17,13,603709
2026-09-17,14,688681
2026-09-17,15,688695
2026-09-17,16,301098
2026-09-17,17,300405
2026-09-17,18,301233
2026-09-17,19,300500
2026-09-17,20,301512
2026-09-17,21,300614
2026-09-17,22,300535
2026-09-17,23,300635
2026-09-17,24,600561
2026-09-17,25,300605
2026-09-17,26,688565
2026-09-17,27,688466
2026-09-17,28,300220
2026-09-17,29,688329
2026-09-17,30,603307
2026-09-17,31,688528
2026-09-17,32,301503
2026-09-17,33,600137
2026-09-17,34,603860
2026-09-17,35,300176
2026-09-17,36,600493
2026-09-17,37,301037
2026-09-17,38,603717
2026-09-17,39,688651
2026-09-17,40,002316
2026-09-17,41,603908
2026-09-17,42,603022
2026-09-17,43,688096
2026-09-17,44,002494
2026-09-17,45,688092
2026-09-17,46,301131
2026-09-17,47,688576
2026-09-17,48,301163
2026-09-17,49,301063
2026-09-17,50,301298
2026-09-17,51,002188
2026-09-17,52,688288
2026-09-17,53,300886
2026-09-17,54,603879
2026-09-17,55,688638
2026-09-17,56,688058
2026-09-17,57,600697
2026-09-17,58,600778
2026-09-17,59,300169
2026-09-17,60,688393
2026-09-17,61,688592
2026-09-17,62,688501
2026-09-17,63,002715
2026-09-17,64,301006
2026-09-17,65,605567
2026-09-17,66,688193
2026-09-17,67,603214
2026-09-17,68,300923
2026-09-17,69,300717
2026-09-17,70,003017
2026-09-17,71,300823
2026-09-17,72,300675
2026-09-17,73,603073
2026-09-17,74,688051
2026-09-17,75,002760
2026-09-17,76,301519
2026-09-17,77,301049
2026-09-17,78,300958
2026-09-17,79,301515
2026-09-17,80,600883
2026-09-17,81,002591
2026-09-17,82,300949
2026-09-17,83,300854
2026-09-17,84,301113
2026-09-17,85,300876
2026-09-17,86,301156
2026-09-17,87,301336
2026-09-17,88,001211
2026-09-17,89,002809
2026-09-17,90,301135
2026-09-17,91,688118
2026-09-17,92,688013
2026-09-17,93,300928
2026-09-17,94,002629
2026-09-17,95,301353
2026-09-17,96,002144
2026-09-17,97,688251
2026-09-17,98,301125
2026-09-17,99,688616
2026-09-17,100,301192
