action,symbol,name,prev_rank,new_rank,signal_date,effective_date
enter,301125,腾亚精工,,26.0,2026-08-20,2026-08-20
enter,300717,华信新材,,59.0,2026-08-20,2026-08-20
enter,000995,皇台酒业,,61.0,2026-08-20,2026-08-20
enter,688118,普元信息,,69.0,2026-08-20,2026-08-20
enter,301001,凯淳股份,,79.0,2026-08-20,2026-08-20
enter,301098,金埔园林,,86.0,2026-08-20,2026-08-20
enter,002144,宏达高科,,91.0,2026-08-20,2026-08-20
enter,688051,佳华科技,,94.0,2026-08-20,2026-08-20
enter,688193,仁度生物,,99.0,2026-08-20,2026-08-20
exit,301106,骏成科技,41.0,,2026-08-20,2026-08-20
exit,301515,港通医疗,69.0,,2026-08-20,2026-08-20
exit,688670,金迪克,70.0,,2026-08-20,2026-08-20
exit,300929,华骐环保,82.0,,2026-08-20,2026-08-20
exit,301113,雅艺科技,83.0,,2026-08-20,2026-08-20
exit,002820,桂发祥,84.0,,2026-08-20,2026-08-20
exit,603177,德创环保,89.0,,2026-08-20,2026-08-20
exit,301519,舜禹股份,92.0,,2026-08-20,2026-08-20
exit,003042,中农联合,97.0,,2026-08-20,2026-08-20
