rebalance_date,rank,symbol,name,market_cap,target_weight,signal_date,effective_date
2026-08-20,1,688701,卓锦股份,1122558829.9199998,0.01,2026-08-20,2026-08-20
2026-08-20,2,688217,睿昂基因,1410919932.96,0.01,2026-08-20,2026-08-20
2026-08-20,3,603709,中源家居,1475103240.0,0.01,2026-08-20,2026-08-20
2026-08-20,4,300417,南华仪器,1482886464.0,0.01,2026-08-20,2026-08-20
2026-08-20,5,001336,楚环科技,1492535895.0,0.01,2026-08-20,2026-08-20
2026-08-20,6,300621,维业股份,1506330508.0,0.01,2026-08-20,2026-08-20
2026-08-20,7,600455,博通股份,1517729400.0,0.01,2026-08-20,2026-08-20
2026-08-20,8,688067,爱威科技,1573520000.0,0.01,2026-08-20,2026-08-20
2026-08-20,9,301167,建研设计,1575840000.0,0.01,2026-08-20,2026-08-20
2026-08-20,10,688573,信宇人,1580688453.9600003,0.01,2026-08-20,2026-08-20
2026-08-20,11,688329,艾隆科技,1587231999.9999998,0.01,2026-08-20,2026-08-20
2026-08-20,12,300405,科隆股份,1606705591.15,0.01,2026-08-20,2026-08-20
2026-08-20,13,688021,奥福科技,1617678388.89,0.01,2026-08-20,2026-08-20
2026-08-20,14,600561,江西长运,1627207296.0,0.01,2026-08-20,2026-08-20
2026-08-20,15,300220,金运激光,1640520000.0,0.01,2026-08-20,2026-08-20
2026-08-20,16,600493,凤竹纺织,1642880000.0,0.01,2026-08-20,2026-08-20
2026-08-20,17,688528,秦川物联,1646400000.0,0.01,2026-08-20,2026-08-20
2026-08-20,18,688501,青达环保,1648479020.0,0.01,2026-08-20,2026-08-20
2026-08-20,19,688695,中创股份,1649996733.2,0.01,2026-08-20,2026-08-20
2026-08-20,20,301512,智信精密,1654402068.0000002,0.01,2026-08-20,2026-08-20
2026-08-20,21,688565,力源科技,1656013800.0,0.01,2026-08-20,2026-08-20
2026-08-20,22,300500,启迪设计,1657980501.57,0.01,2026-08-20,2026-08-20
2026-08-20,23,300605,恒锋信息,1669603433.82,0.01,2026-08-20,2026-08-20
2026-08-20,24,301233,盛帮股份,1689760099.9999998,0.01,2026-08-20,2026-08-20
2026-08-20,25,688659,元琛科技,1704000000.0,0.01,2026-08-20,2026-08-20
2026-08-20,26,301125,腾亚精工,1706765356.7999997,0.01,2026-08-20,2026-08-20
2026-08-20,27,600697,欧亚集团,1711787687.0000002,0.01,2026-08-20,2026-08-20
2026-08-20,28,300614,百川畅银,1718319672.0900002,0.01,2026-08-20,2026-08-20
2026-08-20,29,300635,中达安,1719371919.9999998,0.01,2026-08-20,2026-08-20
2026-08-20,30,688466,金科环境,1719930460.16,0.01,2026-08-20,2026-08-20
2026-08-20,31,688078,龙软科技,1726835170.0000002,0.01,2026-08-20,2026-08-20
2026-08-20,32,603307,扬州金泉,1731878880.0,0.01,2026-08-20,2026-08-20
2026-08-20,33,600778,友好集团,1731891917.12,0.01,2026-08-20,2026-08-20
2026-08-20,34,688651,盛邦安全,1734176999.9999998,0.01,2026-08-20,2026-08-20
2026-08-20,35,688058,宝兰德,1735140126.72,0.01,2026-08-20,2026-08-20
2026-08-20,36,688004,博汇科技,1737909600.0,0.01,2026-08-20,2026-08-20
2026-08-20,37,600137,浪莎股份,1745055704.6,0.01,2026-08-20,2026-08-20
2026-08-20,38,002316,亚联发展,1745452800.0000002,0.01,2026-08-20,2026-08-20
2026-08-20,39,603022,新通联,1750000000.0,0.01,2026-08-20,2026-08-20
2026-08-20,40,603860,中公高科,1755684400.0,0.01,2026-08-20,2026-08-20
2026-08-20,41,300535,达威股份,1760476746.3500001,0.01,2026-08-20,2026-08-20
2026-08-20,42,688681,科汇股份,1764736200.0,0.01,2026-08-20,2026-08-20
2026-08-20,43,688793,倍轻松,1773053993.97,0.01,2026-08-20,2026-08-20
2026-08-20,44,603908,牧高笛,1779656740.6799998,0.01,2026-08-20,2026-08-20
2026-08-20,45,301503,智迪科技,1786400000.0,0.01,2026-08-20,2026-08-20
2026-08-20,46,002188,中天服务,1795800213.3600001,0.01,2026-08-20,2026-08-20
2026-08-20,47,301037,保立佳,1821315086.6,0.01,2026-08-20,2026-08-20
2026-08-20,48,002494,华斯股份,1829956982.2999997,0.01,2026-08-20,2026-08-20
2026-08-20,49,605567,春雪食品,1830000000.0,0.01,2026-08-20,2026-08-20
2026-08-20,50,300645,正元智慧,1838858304.1,0.01,2026-08-20,2026-08-20
2026-08-20,51,603717,天域生物,1842428623.9999998,0.01,2026-08-20,2026-08-20
2026-08-20,52,688288,鸿泉技术,1843559112.8799996,0.01,2026-08-20,2026-08-20
2026-08-20,53,600448,华纺股份,1845371609.6600003,0.01,2026-08-20,2026-08-20
2026-08-20,54,600883,博闻科技,1850929920.0,0.01,2026-08-20,2026-08-20
2026-08-20,55,002910,庄园牧场,1861534583.44,0.01,2026-08-20,2026-08-20
2026-08-20,56,300886,华业香料,1862926400.0000002,0.01,2026-08-20,2026-08-20
2026-08-20,57,301131,聚赛龙,1865628838.2900002,0.01,2026-08-20,2026-08-20
2026-08-20,58,301390,经纬股份,1869600000.0,0.01,2026-08-20,2026-08-20
2026-08-20,59,300717,华信新材,1872560500.0,0.01,2026-08-20,2026-08-20
2026-08-20,60,301298,东利机械,1873168000.0,0.01,2026-08-20,2026-08-20
2026-08-20,61,000995,皇台酒业,1876976640.0,0.01,2026-08-20,2026-08-20
2026-08-20,62,688638,誉辰智能,1877680000.0,0.01,2026-08-20,2026-08-20
2026-08-20,63,688092,爱科科技,1878946810.1999998,0.01,2026-08-20,2026-08-20
2026-08-20,64,000856,冀东装备,1879560000.0,0.01,2026-08-20,2026-08-20
