rebalance_date,execution_timing,constraint_trade_date,execution_date,effective_date,return_start_date,exit_count,entry_count,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,turnover_frac_one_side,two_side_cost_rate,holding_count_after
2010-01-04,close,2010-01-04,2010-01-04,2010-01-04,2010-01-05,0,100,0,0,1.0,0.0,0.5,0.003,100
2010-02-01,close,2010-02-01,2010-02-01,2010-02-01,2010-02-02,13,13,2,2,0.13,0.13,0.13,0.0007800000000000001,100
2010-03-01,close,2010-03-01,2010-03-01,2010-03-01,2010-03-02,8,8,3,3,0.08,0.08,0.08,0.00048,100
2010-04-01,close,2010-04-01,2010-04-01,2010-04-01,2010-04-02,11,11,2,2,0.11,0.11,0.11,0.00066,100
2010-05-04,close,2010-05-04,2010-05-04,2010-05-04,2010-05-05,13,13,7,7,0.13,0.13,0.13,0.0007800000000000001,100
2010-06-01,close,2010-06-01,2010-06-01,2010-06-01,2010-06-02,6,6,7,7,0.06,0.06,0.06,0.00035999999999999997,100
2010-07-01,close,2010-07-01,2010-07-01,2010-07-01,2010-07-02,9,9,3,3,0.09,0.09,0.09,0.00054,100
2010-08-02,close,2010-08-02,2010-08-02,2010-08-02,2010-08-03,7,7,5,5,0.07,0.07,0.07,0.00042000000000000007,100
2010-09-01,close,2010-09-01,2010-09-01,2010-09-01,2010-09-02,9,9,3,3,0.09,0.09,0.09,0.00054,100
2010-10-08,close,2010-10-08,2010-10-08,2010-10-08,2010-10-11,6,6,5,5,0.06,0.06,0.06,0.00035999999999999997,100
2010-11-01,close,2010-11-01,2010-11-01,2010-11-01,2010-11-02,10,10,6,6,0.1,0.1,0.1,0.0006000000000000001,100
2010-12-01,close,2010-12-01,2010-12-01,2010-12-01,2010-12-02,11,11,7,7,0.11,0.11,0.11,0.00066,100
2011-01-04,close,2011-01-04,2011-01-04,2011-01-04,2011-01-05,11,11,6,6,0.11,0.11,0.11,0.00066,100
2011-02-01,close,2011-02-01,2011-02-01,2011-02-01,2011-02-09,11,11,6,6,0.11,0.11,0.11,0.00066,100
2011-03-01,close,2011-03-01,2011-03-01,2011-03-01,2011-03-02,10,10,7,7,0.1,0.1,0.1,0.0006000000000000001,100
2011-04-01,close,2011-04-01,2011-04-01,2011-04-01,2011-04-06,12,12,7,7,0.12,0.12,0.12,0.0007199999999999999,100
2011-05-03,close,2011-05-03,2011-05-03,2011-05-03,2011-05-04,12,12,8,8,0.12,0.12,0.12,0.0007199999999999999,100
2011-06-01,close,2011-06-01,2011-06-01,2011-06-01,2011-06-02,9,9,7,7,0.09,0.09,0.09,0.00054,100
2011-07-01,close,2011-07-01,2011-07-01,2011-07-01,2011-07-04,11,11,8,8,0.11,0.11,0.11,0.00066,100
2011-08-01,close,2011-08-01,2011-08-01,2011-08-01,2011-08-02,12,12,6,6,0.12,0.12,0.12,0.0007199999999999999,100
2011-09-01,close,2011-09-01,2011-09-01,2011-09-01,2011-09-02,11,11,10,10,0.11,0.11,0.11,0.00066,100
2011-10-10,close,2011-10-10,2011-10-10,2011-10-10,2011-10-11,11,11,9,9,0.11,0.11,0.11,0.00066,100
2011-11-01,close,2011-11-01,2011-11-01,2011-11-01,2011-11-02,12,12,4,4,0.12,0.12,0.12,0.0007199999999999999,100
2011-12-01,close,2011-12-01,2011-12-01,2011-12-01,2011-12-02,11,11,5,5,0.11,0.11,0.11,0.00066,100
2012-01-04,close,2012-01-04,2012-01-04,2012-01-04,2012-01-05,21,21,5,5,0.21,0.21,0.21,0.00126,100
2012-02-01,close,2012-02-01,2012-02-01,2012-02-01,2012-02-02,16,16,6,6,0.16,0.16,0.16,0.00096,100
2012-03-01,close,2012-03-01,2012-03-01,2012-03-01,2012-03-02,7,7,6,6,0.07,0.07,0.07,0.00042000000000000007,100
2012-04-05,close,2012-04-05,2012-04-05,2012-04-05,2012-04-06,12,12,7,7,0.12,0.12,0.12,0.0007199999999999999,100
2012-05-02,close,2012-05-02,2012-05-02,2012-05-02,2012-05-03,9,9,7,7,0.09,0.09,0.09,0.00054,100
2012-06-01,close,2012-06-01,2012-06-01,2012-06-01,2012-06-04,10,10,7,7,0.1,0.1,0.1,0.0006000000000000001,100
2012-07-02,close,2012-07-02,2012-07-02,2012-07-02,2012-07-03,13,13,9,9,0.13,0.13,0.13,0.0007800000000000001,100
2012-08-01,close,2012-08-01,2012-08-01,2012-08-01,2012-08-02,13,13,8,8,0.13,0.13,0.13,0.0007800000000000001,100
2012-09-03,close,2012-09-03,2012-09-03,2012-09-03,2012-09-04,10,10,7,7,0.1,0.1,0.1,0.0006000000000000001,100
2012-10-08,close,2012-10-08,2012-10-08,2012-10-08,2012-10-09,11,11,9,9,0.11,0.11,0.11,0.00066,100
2012-11-01,close,2012-11-01,2012-11-01,2012-11-01,2012-11-02,9,9,6,6,0.09,0.09,0.09,0.00054,100
2012-12-03,close,2012-12-03,2012-12-03,2012-12-03,2012-12-04,9,9,8,8,0.09,0.09,0.09,0.00054,100
2013-01-04,close,2013-01-04,2013-01-04,2013-01-04,2013-01-07,12,12,6,6,0.12,0.12,0.12,0.0007199999999999999,100
2013-02-01,close,2013-02-01,2013-02-01,2013-02-01,2013-02-04,14,14,7,7,0.14,0.14,0.14,0.0008400000000000001,100
2013-03-01,close,2013-03-01,2013-03-01,2013-03-01,2013-03-04,7,7,4,4,0.07,0.07,0.07,0.00042000000000000007,100
2013-04-01,close,2013-04-01,2013-04-01,2013-04-01,2013-04-02,7,7,7,7,0.07,0.07,0.07,0.00042000000000000007,100
2013-05-02,close,2013-05-02,2013-05-02,2013-05-02,2013-05-03,12,12,3,3,0.12,0.12,0.12,0.0007199999999999999,100
2013-06-03,close,2013-06-03,2013-06-03,2013-06-03,2013-06-04,11,11,8,8,0.11,0.11,0.11,0.00066,100
2013-07-01,close,2013-07-01,2013-07-01,2013-07-01,2013-07-02,12,12,12,12,0.12,0.12,0.12,0.0007199999999999999,100
2013-08-01,close,2013-08-01,2013-08-01,2013-08-01,2013-08-02,14,14,8,8,0.14,0.14,0.14,0.0008400000000000001,100
2013-09-02,close,2013-09-02,2013-09-02,2013-09-02,2013-09-03,12,12,7,7,0.12,0.12,0.12,0.0007199999999999999,100
2013-10-08,close,2013-10-08,2013-10-08,2013-10-08,2013-10-09,11,11,6,6,0.11,0.11,0.11,0.00066,100
2013-11-01,close,2013-11-01,2013-11-01,2013-11-01,2013-11-04,13,13,7,7,0.13,0.13,0.13,0.0007800000000000001,100
2013-12-02,close,2013-12-02,2013-12-02,2013-12-02,2013-12-03,4,4,17,17,0.04,0.04,0.04,0.00024,100
2014-01-02,close,2014-01-02,2014-01-02,2014-01-02,2014-01-03,18,18,13,13,0.18,0.18,0.18,0.00108,100
2014-02-07,close,2014-02-07,2014-02-07,2014-02-07,2014-02-10,10,10,12,12,0.1,0.1,0.1,0.0006000000000000001,100
2014-03-03,close,2014-03-03,2014-03-03,2014-03-03,2014-03-04,10,10,10,10,0.1,0.1,0.1,0.0006000000000000001,100
2014-04-01,close,2014-04-01,2014-04-01,2014-04-01,2014-04-02,11,11,13,13,0.11,0.11,0.11,0.00066,100
2014-05-05,close,2014-05-05,2014-05-05,2014-05-05,2014-05-06,15,15,14,14,0.15,0.15,0.15,0.0009,100
2014-06-03,close,2014-06-03,2014-06-03,2014-06-03,2014-06-04,6,6,11,11,0.06,0.06,0.06,0.00035999999999999997,100
2014-07-01,close,2014-07-01,2014-07-01,2014-07-01,2014-07-02,13,13,14,14,0.13,0.13,0.13,0.0007800000000000001,100
2014-08-01,close,2014-08-01,2014-08-01,2014-08-01,2014-08-04,15,15,9,9,0.15,0.15,0.15,0.0009,100
2014-09-01,close,2014-09-01,2014-09-01,2014-09-01,2014-09-02,8,8,15,15,0.08,0.08,0.08,0.00048,100
2014-10-08,close,2014-10-08,2014-10-08,2014-10-08,2014-10-09,12,12,15,15,0.12,0.12,0.12,0.0007199999999999999,100
2014-11-03,close,2014-11-03,2014-11-03,2014-11-03,2014-11-04,12,12,16,16,0.12,0.12,0.12,0.0007199999999999999,100
2014-12-01,close,2014-12-01,2014-12-01,2014-12-01,2014-12-02,15,15,16,16,0.15,0.15,0.15,0.0009,100
2015-01-05,close,2015-01-05,2015-01-05,2015-01-05,2015-01-06,14,14,16,16,0.14,0.14,0.14,0.0008400000000000001,100
2015-02-02,close,2015-02-02,2015-02-02,2015-02-02,2015-02-03,7,7,15,15,0.07,0.07,0.07,0.00042000000000000007,100
2015-03-02,close,2015-03-02,2015-03-02,2015-03-02,2015-03-03,10,10,17,17,0.1,0.1,0.1,0.0006000000000000001,100
2015-04-01,close,2015-04-01,2015-04-01,2015-04-01,2015-04-02,15,15,18,18,0.15,0.15,0.15,0.0009,100
2015-05-04,close,2015-05-04,2015-05-04,2015-05-04,2015-05-05,23,23,17,17,0.23,0.23,0.23,0.0013800000000000002,100
2015-06-01,close,2015-06-01,2015-06-01,2015-06-01,2015-06-02,35,24,31,20,0.24,0.35,0.295,0.0017699999999999999,89
2015-07-01,close,2015-07-01,2015-07-01,2015-07-01,2015-07-02,11,22,34,34,0.22,0.11,0.165,0.00099,100
