schedule,execution_timing,trade_constraint_mode,window_years,annual,max_dd,sharpe
biweekly,close,close,1,0.3246970604933537,-0.07052503437680717,2.1992720376989325
monthly,close,close,1,0.31937197817097385,-0.10164942570694331,2.091603043952016
weekly,close,close,1,0.3066056533908208,-0.08766892029191044,2.017357205165954
biweekly,close,close,2,0.274839173014783,-0.10579340513002819,1.7783631367759878
monthly,close,close,2,0.27267504138399756,-0.10434648420452149,1.7329410131438343
weekly,close,close,2,0.23365433847019323,-0.1524153674155599,1.3735757255894012
biweekly,close,close,3,0.3022171088272769,-0.10579340513002826,2.0941024344569783
monthly,close,close,3,0.3012979518986165,-0.10434648420452118,2.050478400875245
weekly,close,close,3,0.27913339073701593,-0.15241536741555972,1.7894768700682084
monthly,close,close,4,0.29052129784170555,-0.14410859545089513,1.9904614386565305
biweekly,close,close,4,0.28264160672231653,-0.13429433755120934,1.9803384074552295
weekly,close,close,4,0.2591480590963666,-0.1524153674155598,1.7285608383576527
biweekly,close,close,5,0.2574707373903138,-0.16017211879235355,1.7631144680207902
monthly,close,close,5,0.2583391119826983,-0.16249745274694052,1.7422123633887676
weekly,close,close,5,0.23910248968100256,-0.15754422758787281,1.578617954618481
