schedule,execution_timing,window_years,annual,max_dd,sharpe
biweekly,close,1,0.3333143329255517,-0.07052503437680724,2.260105299572998
monthly,close,1,0.3223894863321122,-0.10128574679042388,2.1110813433286797
weekly,close,1,0.3123914873559972,-0.08766892029191084,2.05751636075267
biweekly,close,2,0.27897339085415385,-0.10579340513002804,1.8062990873874751
monthly,close,2,0.27581137672242395,-0.10434648420452146,1.753453499788079
weekly,close,2,0.232735831215104,-0.1550497127191762,1.3650780037703505
biweekly,close,3,0.30503349928004164,-0.10579340513002791,2.1146966983680238
monthly,close,3,0.30343694486414363,-0.10434648420452151,2.0655712944957547
weekly,close,3,0.278979466640342,-0.15504971271917614,1.7851777137780227
monthly,close,4,0.2929259131960191,-0.14410859545089513,2.0071421748427047
biweekly,close,4,0.2849215788720858,-0.13452500600625192,1.9971690660086228
weekly,close,4,0.26451352179012044,-0.15504971271917614,1.76214258212687
biweekly,close,5,0.2622450351818264,-0.1518455512012824,1.797053312844365
monthly,close,5,0.26021474018142277,-0.16249745274694152,1.754988242658734
weekly,close,5,0.24325238208096445,-0.15779123053633626,1.6044770464626696
