action,symbol,name,prev_rank,new_rank,signal_date,effective_date
enter,688693,锴威特,,31.0,2026-04-02,2026-04-03
enter,002635,安洁科技,,89.0,2026-04-02,2026-04-03
enter,300443,金雷股份,,91.0,2026-04-02,2026-04-03
enter,301369,联动科技,,93.0,2026-04-02,2026-04-03
enter,603203,快克智能,,95.0,2026-04-02,2026-04-03
exit,603182,嘉华股份,4.0,,2026-04-02,2026-04-03
exit,300461,田中精机,71.0,,2026-04-02,2026-04-03
exit,002718,友邦吊顶,78.0,,2026-04-02,2026-04-03
exit,601133,柏诚股份,88.0,,2026-04-02,2026-04-03
exit,605056,咸亨国际,99.0,,2026-04-02,2026-04-03
