candidate,version,lookback,halflife,exit_buffer,target_vol,vol_window,max_leverage,scale_threshold,execution_hedge_ratio,signal_spread_hedge_ratio,financing_rate,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_execution_scale_full,avg_execution_scale_last_10y,avg_execution_scale_last_1y,avg_execution_scale_last_3y,avg_execution_scale_last_5y,max_execution_scale_full,max_execution_scale_last_10y,max_execution_scale_last_1y,max_execution_scale_last_3y,max_execution_scale_last_5y,cap_clipped_ratio_full,cap_clipped_ratio_last_10y,cap_clipped_ratio_last_1y,cap_clipped_ratio_last_3y,cap_clipped_ratio_last_5y,avg_target_vol_turnover_full,avg_target_vol_turnover_last_10y,avg_target_vol_turnover_last_1y,avg_target_vol_turnover_last_3y,avg_target_vol_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,cost_days_full,cost_days_last_10y,cost_days_last_1y,cost_days_last_3y,cost_days_last_5y
v2_3_tv10,v2.3,17,4.0,0.13,0.1,60,1.5,0.3,0.8,1.0,0.03,0.2443795905699575,0.1960342260990231,0.07599434775125724,0.16313445548705796,0.15226697701710568,0.0899041125546356,0.08710835777953341,0.0726287752092007,0.07654642070378195,0.08466188458082174,2.7182248244922684,2.2504640323397584,1.0463393817720636,2.1311833262374593,1.7985304457963642,-0.12271238940057139,-0.07808590610994615,-0.0514285939293313,-0.052763911235331085,-0.06501487226547809,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,0.6896097002713286,0.5651064246713143,0.3142815427591764,0.3840042119773575,0.4224921621540641,1.5,1.467716618067599,0.5152119859582017,0.7862609398953108,0.8713374040794342,0.13465499485066942,0.04014900662251655,0.0,0.0,0.0,0.0019315324735635574,0.0019266708158811251,0.0,0.0,0.00045634909365468453,1.2283763840418718,0.7113773878515146,0.06572420952898832,0.18321087609747255,0.32736127525630615,1566,663,28,88,146
v2_3_tv12,v2.3,17,4.0,0.13,0.12,60,1.5,0.3,0.8,1.0,0.03,0.2701356994447306,0.21414459799863828,0.06938883785365668,0.18735509325289224,0.17834939440641828,0.10259304669542652,0.10176629492150559,0.09040373333028934,0.09288473062301218,0.1021362421016842,2.6330800005062422,2.1042782206408552,0.7675439420200171,2.0170709652300487,1.7461910751411651,-0.13493759747606315,-0.09391721457672086,-0.07454644945409572,-0.07454644945409628,-0.07792571185610819,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,0.7777648887522982,0.6566638736614538,0.38101972611754875,0.462066391844981,0.5085386892691878,1.5,1.5,0.918114086930166,0.9435131278743729,1.0244273798084347,0.27420185375901135,0.09064569536423842,0.0,0.0,0.0,0.0015128276955855937,0.0014562570131565339,0.002329124883922257,0.0007568024832912656,0.0009661501323135951,1.325194598487841,0.7726839891905612,0.07167012235399595,0.1963341222361772,0.3520617023925737,1731,825,29,89,182
v2_3_tv15,v2.3,17,4.0,0.13,0.15,60,1.5,0.3,0.8,1.0,0.03,0.314662185359724,0.26842913616857556,0.10835278561045247,0.26030776754415696,0.2370394992001097,0.12132362304938289,0.12654749273746574,0.11703058030417864,0.1264382621162215,0.1333745129739813,2.5935772230577525,2.1211730897383814,0.9258501951270226,2.0587736907114653,1.7772473459479574,-0.14997249333566143,-0.11520088205679768,-0.08990153385480337,-0.09048803917192938,-0.09704317170264676,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,0.8907110133045085,0.8103577072695411,0.5056969072882896,0.6388180261031935,0.6721082081831801,1.5,1.5,1.0782295418778325,1.310726086749167,1.310726086749167,0.44026776519052524,0.22640728476821192,0.0,0.0,0.0,0.0016397550645965164,0.001485817591132317,0.0023728564488132726,0.0022975785686297537,0.0020118750667788184,1.4477214323291865,0.8745557599873772,0.07874985195336852,0.22427564833982927,0.3998020328718278,2217,1228,50,254,411
v2_3_tv18,v2.3,17,4.0,0.13,0.18,60,1.5,0.3,0.8,1.0,0.03,0.3401007373671845,0.2912777612523161,0.12752271246060798,0.2920993600951498,0.27091521142032904,0.13271904116291194,0.14124829765728397,0.13869050194513366,0.14110725259784884,0.15396377081509288,2.5625617423630462,2.0621682957132283,0.9194768976397267,2.0700520683201424,1.7596036391294434,-0.16242975105649005,-0.12545715452823936,-0.10397521158263423,-0.10397521158263423,-0.1158870222522349,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,0.9500851145459864,0.889243253965965,0.6030870348511994,0.7106390111370412,0.7719920875934931,1.5,1.5,1.2365957895957385,1.4152696918115593,1.5,0.5514933058702368,0.36961920529801323,0.0,0.056022408963585436,0.06416666666666666,0.0008286263202764835,0.0008157540292137292,0.0024030165783009753,0.0015522141197529661,0.0016423847788169749,1.5158109634875698,0.9372679713522247,0.08582650336550032,0.23850746530155859,0.4365489508983278,2490,1430,52,256,584
v2_3_tv20,v2.3,17,4.0,0.13,0.2,60,1.5,0.3,0.8,1.0,0.03,0.35753907265555807,0.3110237179084234,0.1426270374102132,0.3268460782269962,0.29873299031574185,0.14089818277058525,0.1524063074255208,0.1542293948735226,0.15650237761412614,0.16983954907212315,2.5375705039270393,2.0407535827243706,0.9247720742675284,2.088441614816046,1.7589129972835922,-0.16242975105649005,-0.12973568415056824,-0.1142766280489923,-0.11427662804899175,-0.12833837688128324,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,0.9881629797363276,0.9449192941194207,0.6712618171861282,0.7878444845421569,0.8498412726722304,1.5,1.5,1.3600631391607367,1.5,1.5,0.6261585993820803,0.46771523178807944,0.017241379310344827,0.14985994397759103,0.16083333333333333,0.0007603861810491373,0.0007718412429858508,0.0025619239000665237,0.001689559205838285,0.0015539737025448462,1.5617205805811452,0.9800788571168146,0.09104010096782895,0.253967870159171,0.4663181599225301,2729,1669,135,420,784
v2_3_tv22,v2.3,17,4.0,0.13,0.22,60,1.5,0.3,0.8,1.0,0.03,0.37117256079185745,0.3245133428201725,0.15458493512414262,0.3615960887491725,0.322642158991002,0.1474163513733867,0.16067192328613727,0.16963617205158857,0.17153541096451638,0.1829657266119243,2.517852038351736,2.0197265096668664,0.911273422729271,2.107996749568938,1.7634021680756393,-0.16242975105649005,-0.14066622625018643,-0.12519829193785348,-0.12519829193785348,-0.140666226250187,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,1.0143603783101758,0.9796010991475618,0.7383879989047412,0.8622171682904902,0.9092806365719738,1.5,1.5,1.4960694530768104,1.5,1.5,0.7273429454170958,0.6158940397350994,0.12931034482758622,0.26750700280112044,0.3275,0.0006348210604360565,0.0005492466060701113,0.002818116290073176,0.0018585151264221135,0.0011058165002211574,1.5939706313250372,1.0089248519364928,0.09728401966181628,0.27044781167393195,0.48975511480590117,2736,1676,142,427,791
v2_3_tv25,v2.3,17,4.0,0.13,0.25,60,1.5,0.3,0.8,1.0,0.03,0.38440325858222213,0.34040766194312133,0.1671704555598097,0.39460290608011794,0.3507469002754886,0.15328590255478905,0.16887000733177918,0.1814436901081563,0.18564337450152832,0.1957933513279399,2.5077534996724484,2.015797046033887,0.9213351837154629,2.125596494567434,1.7914137425842032,-0.16242975105649005,-0.13651736012160431,-0.1282089738728872,-0.12981459317619304,-0.1344110198826144,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,1.0373758115206089,1.0135213791167406,0.7857038568979411,0.9217864173906988,0.9674608168596808,1.5,1.5,1.2880299648955043,1.5,1.5,0.7754891864057673,0.6858443708609272,0.16379310344827586,0.2927170868347339,0.4091666666666667,0.0003403895249606843,0.0005472156104914313,0.0,0.001071391680940304,0.0011017274291227482,1.6253685423564248,1.0400232964547924,0.10274453547824873,0.28593342734984684,0.515750550257386,2784,1724,150,475,839
v2_3_tv28,v2.3,17,4.0,0.13,0.28,60,1.5,0.3,0.8,1.0,0.03,0.3916949374600067,0.3517521448141494,0.18404323056199967,0.4240174412343809,0.3693069461131575,0.15930203377706145,0.17760364807328882,0.20319417984206173,0.20263500441431792,0.20992034890406108,2.458819439858328,1.9805457186836475,0.9057505028197773,2.0925182322764586,1.7592717811360925,-0.16242975105649005,-0.16165670984542646,-0.14316281520626373,-0.14449602732008227,-0.16165670984542624,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,1.058997221669116,1.0482803017230324,0.879988319725694,0.9917376748538058,1.0317876741357055,1.5,1.5,1.4425935606829647,1.5,1.5,0.8300720906282183,0.7549668874172185,0.24568965517241378,0.3627450980392157,0.5341666666666667,0.00036471172195552356,0.0005863163609583003,0.0,0.0019839500393210832,0.0011804502733960447,1.6558761599030771,1.070530914001445,0.11192122399793371,0.30608697919299976,0.544077635312923,2784,1724,150,475,839
v2_3_tv30,v2.3,17,4.0,0.13,0.3,60,1.5,0.3,0.8,1.0,0.03,0.39395092834677214,0.35526933390797977,0.1908285235503444,0.4368168585770138,0.3764419480612655,0.16077300616581536,0.17972393614078724,0.214002094957464,0.2087359380611623,0.21352149233404236,2.4503549304817107,1.976750240044145,0.8917133432187864,2.092676817582897,1.7630166591021352,-0.16242975105649005,-0.16165670984542646,-0.1507936884733101,-0.15079368847330998,-0.16165670984542624,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,1.0642298356714186,1.0566923351605089,0.9242390257096896,1.0188636999268765,1.0487239014564915,1.5,1.5,1.5,1.5,1.5,0.8861997940267765,0.8418874172185431,0.6594827586206896,0.5770308123249299,0.7008333333333333,0.00029954537325557116,0.00048155390303172125,0.0,0.0016294597054966925,0.000969528524770532,1.6638238353624208,1.0784785894607887,0.11650174564373506,0.3136630156903004,0.5520253107722666,2810,1750,150,501,865
v2_3_tv32,v2.3,17,4.0,0.13,0.32,60,1.5,0.3,0.8,1.0,0.03,0.3944572500793557,0.3560591847486212,0.184160363282168,0.4396141017296722,0.3780467960540277,0.16157333205115545,0.18087469056249506,0.21663755705849663,0.2120722434633993,0.21546903209241883,2.441351212305675,1.9685406711205797,0.8500851181240051,2.072945023593073,1.7545296063328308,-0.16242975105649005,-0.16165670984542646,-0.1555456562589278,-0.15554565625892758,-0.16165670984542624,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,1.0673446431164544,1.061699749116022,0.9319756504121747,1.0358075544318055,1.0588054948869243,1.5,1.5,1.5,1.5,1.5,0.9235324407826982,0.9019039735099338,0.8448275862068966,0.6722689075630253,0.8025,0.0003195150648059427,0.0005136574965671695,0.0,0.0017380903525298062,0.0010341637597552347,1.669351129304616,1.0840058834029838,0.11805216803091312,0.3191903096324955,0.5575526047144617,2810,1750,150,501,865
v2_3_tv35,v2.3,17,4.0,0.13,0.35,60,1.5,0.3,0.8,1.0,0.03,0.3953980960536212,0.3575273441927185,0.18044345211100965,0.4448236941038899,0.3810323407291043,0.16232291147041578,0.18195129824562262,0.21808884397549413,0.21516292850660945,0.21728582835381643,2.435873608179364,1.9649617652635785,0.8273850639113179,2.067380738825674,1.7535995955919037,-0.16242975105649005,-0.16165670984542646,-0.15819446708609297,-0.15819446708609342,-0.16165670984542624,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,1.070103887153591,1.0661355536856572,0.9375,1.0508172236758369,1.067736248087123,1.5,1.5,1.5,1.5,1.5,0.9397528321318228,0.9279801324503312,1.0,0.7563025210084033,0.855,0.00014503233333209315,0.0002331562842143418,0.0,0.0007889433930838233,0.00046942131888487486,1.6729132382048446,1.0875679923032124,0.11916393442622851,0.3227524185327241,0.5611147136146903,2811,1751,150,502,866
